"","season","team","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints"
"1",2015,"Air Force","Mountain West",0.272449145312858,269.452204714416,0.474216380182002,1.1540445130238,3.87368421052632,70.9,1.346,0.172654001225214,151.590213075738,0.357630979498861,1.54920635360484,0.231981981981982,3.58441558441558,70.7,-1.333
"2",2015,"Akron","Mid-American",0.0973150370348363,85.5399175536211,0.394766780432309,1.21434303577756,3.4578313253012,67.6,1.562,0.0818986035246865,69.6957115995082,0.392479435957697,1.19346194017133,0.236111111111111,3.22368421052632,71,-1.351
"3",2015,"Alabama","SEC",0.190845668098963,208.212623895968,0.451879010082493,1.14666803380623,3.55769230769231,67.2,1.639,-0.0173132193749122,-16.2917394317924,0.315621679064825,1.35099577670161,0.246153846153846,2.22222222222222,72.3,-1.221
"4",2015,"Appalachian State","Sun Belt",0.267052087589932,241.148035093709,0.46843853820598,1.28794331292615,4.2906976744186,68.6,1.556,0.00948132084765928,8.33408102509251,0.374288964732651,1.11143490274309,0.199561403508772,2.5,68.8,-1.497
"5",2015,"Arizona","Pac-12",0.250248311812283,249.247318565034,0.457831325301205,1.32359096676061,4.01,71.8,1.271,0.237194449821367,245.733450014936,0.445945945945946,1.20865690503322,0.173285198555957,4.34883720930233,71.3,-1.32
"6",2015,"Arizona State","Pac-12",0.170695379152694,186.057963276436,0.420183486238532,1.21407936697287,3.66315789473684,68.8,1.487,0.203536069479727,200.686564507011,0.399594320486815,1.48271588214492,0.245098039215686,3.54320987654321,73.2,-1.141
"7",2015,"Arkansas","SEC",0.334556749753885,299.093734279973,0.504474272930649,1.25035982466494,4.43529411764706,68.9,1.44,0.241127932308717,204.958742462409,0.478823529411765,1.1497665665783,0.218997361477573,4.02777777777778,72.4,-1.242
"8",2015,"Arkansas State","Sun Belt",0.175732905975159,171.163850419805,0.445585215605749,1.24159428799056,3.57575757575758,66.6,1.642,0.120705299179115,114.307918322622,0.382259767687434,1.41414516107541,0.246411483253589,3.79220779220779,73,-1.228
"9",2015,"Army","FBS Independents",0.191255046705607,137.512378581332,0.422809457579972,1.21838411703825,3.39344262295082,71.8,1.278,0.207778760859429,157.288521970588,0.439894319682959,1.1960781065371,0.185714285714286,3.95833333333333,68,-1.571
"10",2015,"Auburn","SEC",0.181566594370074,169.220065952909,0.456008583690987,1.07928483481163,3.77027027027027,70.7,1.356,0.1522573297962,154.69344707294,0.461614173228346,1.08284808285303,0.164705882352941,3.01075268817204,71.4,-1.299
