"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"64",283,2017,4035409,"Zach Smith","QB","Baylor","Big 12",230,0.158,0.174,-0.094
"65",343,2017,4241222,"Charlie Brewer","QB","Baylor","Big 12",267,0.312,0.342,0.177
"66",492,2018,4241222,"Charlie Brewer","QB","Baylor","Big 12",519,0.354,0.336,0.426
"67",606,2019,4241222,"Charlie Brewer","QB","Baylor","Big 12",528,0.317,0.304,0.362
"68",667,2020,4241222,"Charlie Brewer","QB","Baylor","Big 12",426,0.141,0.121,0.229
"69",89,2015,3722362,"Brett Rypien","QB","Boise State","Mountain West",467,0.341,0.334,0.472
"70",246,2016,3722362,"Brett Rypien","QB","Boise State","Mountain West",433,0.473,0.472,0.483
"71",361,2017,3722362,"Brett Rypien","QB","Boise State","Mountain West",384,0.366,0.374,0.181
"72",505,2018,3722362,"Brett Rypien","QB","Boise State","Mountain West",496,0.392,0.413,0.211
"73",612,2019,4426499,"Hank Bachmeier","QB","Boise State","Mountain West",258,0.338,0.345,0.274
"74",152,2016,530944,"Patrick Towles","QB","Boston College","ACC",385,0.175,0.117,0.374
"75",271,2017,4035312,"Anthony Brown","QB","Boston College","ACC",301,0.114,0.051,0.569
"76",463,2018,4035312,"Anthony Brown","QB","Boston College","ACC",339,0.281,0.26,0.461
"77",609,2019,4239939,"Dennis Grosel","QB","Boston College","ACC",210,0.325,0.274,0.503
"78",713,2020,4372768,"Phil Jurkovec","QB","Boston College","ACC",375,0.339,0.322,0.451
"79",130,2016,3914395,"James Morgan","QB","Bowling Green","Mid-American",329,0.02,-0.012,0.358
"80",261,2017,3914395,"James Morgan","QB","Bowling Green","Mid-American",234,0.02,0.003,0.253
"81",309,2017,4244029,"Jarret Doege","QB","Bowling Green","Mid-American",217,0.244,0.271,-0.095
"82",440,2018,4244029,"Jarret Doege","QB","Bowling Green","Mid-American",437,0.221,0.243,-0.173
"83",532,2019,4046743,"Grant Loy","QB","Bowling Green","Mid-American",303,0.062,-0.006,0.215
"84",60,2015,513614,"Joe Licata","QB","Buffalo","Mid-American",436,0.257,0.252,0.392
"85",134,2016,3916564,"Tyree Jackson","QB","Buffalo","Mid-American",407,0.098,0.069,0.2
