season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2019,4572366,Andrew Brito,QB,UMass,FBS Independents,203,-0.11,-0.087,-0.374,-0.36,-0.227,0.302,-0.315,0.148,-22.234,-16.253,-5.981,-25.913,-14.56,17.791,-35.547,13.313
2019,4035633,Aidan Smith,QB,Northwestern,Big Ten,239,-0.041,-0.07,0.042,-0.171,0.087,0.11,-0.092,0.027,-9.859,-12.478,2.619,-14.746,6.554,7.694,-12.573,2.714
2019,4360204,Johnny Langan,QB,Rutgers,Big Ten,288,-0.009,-0.138,0.197,-0.481,0.03,0.438,-0.194,0.233,-2.484,-24.387,21.903,-48.12,2.806,38.587,-31.603,29.119
2019,4250764,Stone Smartt,QB,Old Dominion,Conference USA,279,0.012,-0.114,0.376,-0.326,-0.142,0.515,-0.142,0.197,3.392,-23.675,27.067,-34.863,-12.792,35.018,-21.568,24.96
2019,4037603,Josh Jackson,QB,Maryland,Big Ten,258,0.022,0.013,0.097,0.029,0.037,0.123,0.044,-0.01,5.685,2.877,2.808,2.667,2.922,10.109,6.708,-1.023
2019,4249400,Cephus Johnson,QB,South Alabama,Sun Belt,230,0.044,-0.067,0.382,0.015,-0.078,0.184,0.035,0.055,10.127,-11.672,21.799,1.248,-5.161,13.629,4.392,5.734
2019,4038741,Kato Nelson,QB,Akron,Mid-American,385,0.051,0.028,0.165,-0.224,0.198,0.215,0.013,0.095,19.728,8.863,10.866,-31.371,26.927,20.41,2.65,17.078
2019,4046743,Grant Loy,QB,Bowling Green,Mid-American,303,0.062,-0.006,0.215,0.087,0.009,0.297,0.113,-0.007,18.683,-1.335,20.019,9.047,0.907,24.651,19.568,-0.885
2019,4027860,Gresch Jensen,QB,Texas State,Sun Belt,202,0.085,0.054,0.964,-0.146,0.195,0.4,-0.014,0.224,17.239,10.489,6.75,-12.731,12.066,19.603,-1.611,18.849
2019,4428977,Jack Zergiotis,QB,Connecticut,American Athletic,299,0.087,0.079,0.206,-0.028,0.168,0.216,-0.029,0.22,25.98,22.059,3.921,-3,16.321,17.918,-4.605,30.585
