Rk,Team,Rec,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk,OFP,Rk,DFP,Rk,NFP,Rk
1,Toledo,6-6,1.22,.23,6,-.01,46,.32,1,.00,102,.15,56,.44,14,65.6,1,73.1,13,7.5,2
2,Troy,9-3,1.15,.16,11,.03,26,-.05,52,.30,3,.21,43,.60,3,67.8,14,72.1,31,4.3,15
3,Alabama,13-1,1.00,.31,1,.02,28,.04,17,.02,90,.35,21,.13,35,66.5,6,74.0,5,7.5,1
4,Texas A&M,8-4,.92,.13,18,.08,3,-.22,118,.45,1,-.02,81,.25,24,69.5,38,72.7,17,3.3,21
5,Miami (OH),6-6,.69,.30,2,.04,18,-.22,117,.01,98,.19,48,.45,13,69.0,30,72.0,34,2.9,28
6,BYU,6-6,.68,-.04,113,.07,5,-.15,90,.24,9,-.03,82,.97,1,69.7,43,71.4,48,1.8,43
7,Ohio,8-4,.67,.00,91,.09,2,.19,3,.07,77,.10,63,.06,45,69.4,37,73.1,11,3.7,19
8,Georgia Southern,9-3,.66,.06,39,-.01,53,.03,21,.10,58,.80,1,-.03,56,67.3,10,73.0,15,5.7,7
9,Utah,8-5,.64,.04,46,.00,41,-.16,96,.17,31,.62,5,.50,9,70.2,57,70.4,73,.3,66
10,Auburn,7-5,.62,.14,17,.02,27,-.01,32,.25,6,-.06,91,-.13,76,68.5,21,72.6,19,4.1,18
11,New Mexico,2-9,.62,-.04,118,.01,33,.08,8,.12,46,.59,7,.18,27,70.4,62,69.6,89,-.7,83
12,Marshall,8-4,.53,.09,27,.06,12,.09,7,.14,39,-.29,107,-.03,57,65.9,2,73.3,9,7.3,4
13,Minnesota,7-6,.52,.09,28,-.01,54,.12,5,.23,12,.23,42,-.56,123,68.5,22,71.4,47,2.9,29
14,Texas Tech,4-7,.52,.07,34,-.03,65,-.04,47,.25,5,.45,15,-.19,83,71.4,87,72.5,22,1.1,50
15,Utah State,10-2,.52,.29,3,.02,30,-.03,38,-.04,117,.07,67,-.10,68,68.3,18,70.5,69,2.2,35
16,Syracuse,9-3,.46,.07,35,.06,10,-.07,60,.13,45,.50,11,-.30,98,66.1,3,72.5,21,6.4,6
17,Iowa,8-4,.42,.21,8,.02,29,.00,30,.01,99,.24,41,-.35,103,66.5,4,70.7,63,4.2,17
18,Florida International,8-4,.42,-.03,108,.06,9,.07,12,.02,92,.02,75,.39,16,72.1,105,73.1,12,1.0,53
19,San Jose State,1-10,.41,.11,24,-.09,101,.00,27,.09,66,.16,51,.35,18,67.3,9,69.3,99,2.0,39
20,Oklahoma,12-2,.40,.07,33,-.07,91,.14,4,.17,29,.33,25,-.48,115,71.9,103,71.1,53,-.8,84
21,LSU,9-3,.40,.15,16,.03,24,-.25,126,.20,17,.46,14,-.22,91,66.6,7,72.3,23,5.7,8
22,Ohio State,13-1,.40,.02,69,.03,22,-.04,42,.23,10,-.21,101,.15,33,69.9,49,74.4,3,4.6,10
23,Michigan,10-3,.40,.15,13,.02,31,.05,14,.14,42,.18,49,-.69,127,67.9,15,74.4,4,6.5,5
24,Oklahoma State,6-6,.38,.05,44,-.01,47,-.08,66,.12,47,-.04,83,.50,10,71.7,92,71.5,46,-.2,71
25,Akron,3-8,.31,.02,62,-.02,56,-.03,41,.02,94,.33,24,.31,19,73.6,115,66.2,125,-7.4,126
26,Appalachian State,10-2,.29,.21,7,-.11,111,.02,23,.21,15,.03,74,-.54,122,67.9,16,70.3,76,2.5,32
27,Boston College,6-5,.28,.02,72,-.09,97,.19,2,.02,88,-.41,117,.56,6,67.9,17,70.7,65,2.8,31
28,Navy,2-10,.27,.00,89,-.14,116,-.02,36,.02,91,.27,36,.85,2,69.7,46,70.5,71,.8,57
29,South Carolina,6-6,.27,.15,15,-.03,64,-.22,116,.21,14,.27,35,-.19,85,71.7,95,71.4,50,-.4,75
30,Purdue,6-7,.27,.01,76,-.06,84,-.07,63,.25,7,.07,66,.12,39,70.7,71,71.2,51,.6,60
31,North Carolina,1-9,.26,-.05,120,.03,21,.05,15,.09,64,-.01,78,.12,36,72.1,106,68.7,106,-3.4,102
32,Penn State,9-4,.26,.09,30,-.07,90,-.04,43,.17,30,-.16,99,.19,25,69.0,31,72.3,28,3.2,23
33,Maryland,5-7,.25,.23,5,-.11,108,-.01,34,.14,43,.25,40,-.61,124,70.8,73,70.8,62,-.1,69
34,Stanford,8-4,.23,.04,48,-.07,92,-.02,37,.23,11,.26,39,-.32,99,70.2,58,73.6,7,3.4,20
35,Florida,8-3,.22,.00,95,.06,11,-.06,58,.18,24,.27,34,-.43,114,70.4,63,73.6,8,3.2,22
36,Nevada,7-5,.22,.11,23,-.10,104,-.28,128,.16,37,.20,46,.59,4,70.2,60,68.9,103,-1.3,92
