Rk,Team,Rec,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk,OFP,Rk,DFP,Rk,NFP,Rk
49,Hawaii,6-7,.11,.04,68,-.08,83,-.17,100,.19,30,.54,10,-.16,72,71.2,76,68.9,98,-2.3,96
50,Oklahoma,11-2,.11,.14,22,.02,20,-.16,93,.23,18,-.05,83,-.55,119,72.1,102,72.7,22,.5,58
51,Kentucky,6-6,.10,.07,50,-.01,47,-.09,61,.08,72,.36,31,-.32,98,71.9,97,70.5,74,-1.5,84
52,Western Michigan,12-1,.09,.16,15,.02,22,-.16,94,.15,44,.06,57,-.53,118,69.5,39,74.2,5,4.7,16
53,Virginia Tech,9-4,.09,-.04,108,.05,5,-.02,27,.07,75,-.15,95,.01,48,66.8,6,72.4,27,5.6,12
54,Bowling Green,3-8,.08,-.01,99,-.06,68,-.24,118,.34,1,.13,51,-.02,54,72.0,99,70.1,82,-1.9,88
55,Louisiana,5-7,.07,-.07,123,.00,37,-.06,42,.12,52,.17,47,-.01,51,69.4,36,68.7,103,-.7,76
56,Ball State,3-8,.05,.06,53,-.07,73,.00,24,.03,89,.12,52,-.15,70,71.8,90,72.4,29,.6,55
57,Clemson,13-1,.04,.09,40,-.02,56,-.21,112,.06,80,-.01,76,.24,24,69.0,28,70.5,71,1.5,42
58,Alabama,13-1,.04,-.03,106,.03,18,.02,18,.14,45,-.05,84,-.40,107,69.1,31,72.8,19,3.7,20
59,South Florida,10-2,.02,.08,43,-.01,44,.00,22,.04,87,.04,64,-.47,113,68.6,21,72.6,23,4.0,19
60,Mississippi State,5-7,.01,.09,41,.02,24,-.21,113,.01,96,-.29,107,.38,11,69.4,37,73.0,17,3.6,21
61,TCU,5-7,.01,.02,81,.01,31,-.15,90,.12,54,-.18,99,.08,36,69.2,32,71.2,53,2.0,34
62,Oregon,3-8,-.01,.11,33,.00,38,-.17,99,-.02,108,.03,70,.03,43,71.6,88,70.8,64,-.8,79
63,Notre Dame,4-8,-.02,.17,13,-.09,88,-.18,104,-.08,122,.12,53,.27,19,69.8,45,70.8,63,1.0,47
64,Texas,5-7,-.03,-.04,111,-.02,48,-.09,59,.28,9,-.16,98,-.31,95,69.5,38,72.4,26,2.9,25
65,North Texas,4-8,-.03,.01,85,-.11,94,-.12,73,.20,27,.00,75,.00,49,71.3,78,69.0,96,-2.3,94
66,Ole Miss,4-7,-.04,.02,78,-.01,42,-.15,91,.10,61,.59,7,-.50,116,71.8,92,72.8,20,1.0,48
67,Oklahoma State,9-3,-.06,-.07,121,.04,10,-.23,116,.26,11,.05,62,-.17,73,69.2,33,76.2,1,7.0,6
68,Old Dominion,9-3,-.06,.12,29,-.12,98,-.17,97,-.04,113,.33,32,.13,32,67.8,17,71.0,59,3.2,24
69,Wisconsin,11-3,-.07,.05,61,-.02,51,-.13,84,.00,102,.10,55,-.01,50,67.3,11,73.2,11,5.9,9
70,Colorado State,6-6,-.07,.07,52,-.06,71,-.09,60,.19,28,-.03,79,-.47,114,69.9,48,72.5,24,2.6,29
71,Florida International,4-8,-.08,.01,84,-.22,121,.05,15,.01,98,.03,69,.33,13,72.2,103,68.6,105,-3.6,108
72,Northwestern,7-5,-.08,.14,18,-.09,87,-.09,57,.03,91,-.27,106,-.02,53,72.1,101,68.7,101,-3.4,106
73,Marshall,2-9,-.08,.11,34,-.10,92,.09,9,.02,92,-.77,124,.02,44,69.0,25,71.7,42,2.7,26
74,Connecticut,2-9,-.08,-.08,126,.00,34,-.08,51,.04,88,-.16,96,.25,23,74.7,126,70.3,77,-4.3,112
75,Texas Tech,4-7,-.09,-.01,92,-.04,61,-.24,117,-.01,105,.48,14,.21,28,74.4,124,67.9,112,-6.5,121
