season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2020,4596472,Jalon Daniels,QB,Kansas,Big 12,223,-0.036,-0.11,0.227,-0.226,-0.036,0.15,-0.116,0.056,-7.992,-19.103,11.111,-17.366,-2.463,10.358,-13.826,5.834
2020,4044431,K.J. Costello,QB,Mississippi State,SEC,232,-0.032,-0.031,-0.048,0.013,-0.323,0.406,-0.19,0.247,-7.382,-6.899,-0.483,1.202,-27.162,21.508,-28.127,20.745
2020,4037121,Rex Culpepper,QB,Syracuse,ACC,211,0.037,0.041,-0.018,-0.279,-0.015,0.351,-0.083,0.158,7.781,8.032,-0.251,-18.437,-0.982,24.562,-8.822,16.603
2020,4258236,Nick Tronti,QB,Florida Atlantic,Conference USA,202,0.045,0.052,0.022,-0.231,-0.214,0.618,-0.09,0.198,9.186,8.238,0.948,-16.146,-12.636,38.331,-9.583,18.769
2020,4431375,Ken Seals,QB,Vanderbilt,SEC,285,0.092,0.096,0.046,0.078,-0.088,0.274,-0.006,0.204,26.213,25.12,1.093,8.063,-7.615,23.547,-0.966,27.178
2020,4239994,Chase Brice,QB,Duke,ACC,390,0.105,0.092,0.19,-0.069,0.18,0.299,-0.07,0.309,40.966,31.109,9.857,-10.258,24.175,28.446,-14.703,55.669
2020,4036210,Tyrrell Pigrome,QB,Western Kentucky,Conference USA,399,0.115,0.059,0.32,-0.078,0.237,0.302,-0.005,0.287,45.945,18.456,27.489,-12.339,27.286,31.758,-1.076,47.021
2020,4036357,Collin Hill,QB,South Carolina,SEC,257,0.12,0.093,0.428,-0.086,0.147,0.364,-0.022,0.337,30.941,21.954,8.987,-8.746,10.023,27.645,-3.395,34.336
2020,4371730,Brady McBride,QB,Texas State,Sun Belt,342,0.124,0.151,-0.046,0.074,0.228,0.163,0.086,0.183,42.502,44.686,-2.184,10.609,24.371,12.55,17.976,24.526
2020,4038940,Terry Wilson,QB,Kentucky,SEC,300,0.126,0.092,0.2,-0.001,0.132,0.335,0.018,0.291,37.677,19.097,18.58,-0.139,12.413,27.806,3.348,34.329
