season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2017,3116144,Clayton Thorson,QB,Northwestern,Big Ten,544,0.17,0.122,0.56,0.048,0.09,0.374,0.144,0.21,92.29,59.238,33.052,10.402,13.258,55.694,48.319,43.971
2017,4240020,James Blackman,QB,Florida State,ACC,356,0.173,0.207,-0.123,0.086,0.301,0.125,0.191,0.148,61.717,66.153,-4.436,12.487,32.495,12.007,40.403,21.315
2017,3858269,Ross Bowers,QB,California,Pac-12,523,0.177,0.173,0.238,-0.047,0.183,0.45,-0.016,0.395,92.341,85.689,6.652,-9.053,30.499,68.816,-4.464,96.805
2017,550720,Darell Garretson,QB,Oregon State,Pac-12,257,0.177,0.164,0.279,0.022,0.268,0.176,0.082,0.299,45.566,37.487,8.079,1.995,22.517,13.692,11.778,33.789
2017,3125968,Gus Ragland,QB,Miami (OH),Mid-American,342,0.181,0.188,0.142,-0.097,0.342,0.443,0.013,0.484,61.848,54.05,7.799,-14.006,35.542,38.56,2.833,59.015
2017,3914460,John Urzua,QB,Middle Tennessee,Conference USA,238,0.182,0.174,0.306,0.126,0.131,0.372,0.031,0.39,43.281,38.997,4.284,11.841,10.775,21.601,4.322,38.96
2017,3125813,Hayden Moore,QB,Cincinnati,American Athletic,512,0.183,0.168,0.272,0.016,0.184,0.325,0.065,0.346,93.675,73.036,20.639,3.299,29.969,44.784,19.221,74.454
2017,3914214,Logan Marchi,QB,Temple,American Athletic,269,0.186,0.198,-0.012,0.037,0.046,0.537,0.132,0.262,50.114,50.29,-0.176,3.66,3.868,41.344,20.766,29.348
2017,4036378,Jordan Love,QB,Utah State,Mountain West,273,0.192,0.162,0.382,0.045,0.366,0.23,0.132,0.276,52.547,38.012,14.535,4.897,29.99,17.493,20.779,31.767
2017,546706,Shane Morris,QB,Central Michigan,Mid-American,526,0.195,0.194,0.204,-0.07,0.283,0.374,0.108,0.309,102.478,89.646,12.832,-13.415,49.156,55.717,32.069,70.409
2017,550629,Luke Falk,QB,Washington State,Pac-12,592,0.196,0.196,0.202,0.016,0.053,0.717,0.061,0.431,116.317,110.661,5.656,3.656,10.913,103.235,22.762,93.555
2017,552782,Brogan Roback,QB,Eastern Michigan,Mid-American,445,0.199,0.209,0.034,0.117,0.251,0.204,0.146,0.272,88.72,87.861,0.859,19.844,33.879,26.276,37.107,51.613
2017,530478,Thomas Sirk,QB,East Carolina,American Athletic,305,0.201,0.193,0.233,0.045,0.023,0.484,0.125,0.313,61.205,47.906,13.299,5.249,1.984,42.617,22.682,38.523
2017,3916447,Eric Dungey,QB,Syracuse,ACC,523,0.206,0.135,0.454,0.027,0.074,0.671,0.062,0.459,107.797,54.728,53.069,5.429,13.11,87.21,20.54,87.257
2017,3125259,Dallas Davis,QB,South Alabama,Sun Belt,224,0.207,0.265,-0.065,0.041,0.321,0.419,0.04,0.466,46.438,48.962,-2.524,3.332,24.41,25.129,5.424,41.014
2017,3124912,Jordan Davis,QB,Louisiana,Sun Belt,252,0.209,0.126,0.53,-0.045,0.34,0.481,-0.018,0.567,52.778,25.223,27.555,-4.958,26.211,29.355,-2.761,55.538
2017,546687,Richard Lagow,QB,Indiana,Big Ten,331,0.217,0.246,-0.187,-0.009,0.087,0.659,0.106,0.348,71.884,75.988,-4.104,-1.07,9.828,60.591,18.931,52.953
2017,545757,Tanner Lee,QB,Nebraska,Big Ten,457,0.228,0.23,0.153,0.113,0.23,0.335,0.267,0.181,103.991,101.388,2.602,16.725,34.675,47.939,65.884,38.107
2017,3124981,Tyler Rogers,QB,New Mexico State,FBS Independents,631,0.228,0.228,0.235,-0.01,0.167,0.797,0.02,0.512,144.154,131.943,12.211,-2.743,33.636,121.166,7.414,136.74
2017,4038186,Arion Worthman,QB,Air Force,Mountain West,322,0.233,0.258,0.216,0.171,0.289,0.301,0.197,0.317,74.961,32.555,42.406,22.743,30.306,21.378,44.244,30.717
2017,4038524,Gardner Minshew,QB,East Carolina,American Athletic,320,0.233,0.251,-0.277,-0.009,0.49,0.29,0.095,0.441,74.596,77.646,-3.05,-1.084,50.94,24.976,18.175,56.422
2017,4037603,Josh Jackson,QB,Virginia Tech,ACC,514,0.235,0.238,0.226,0.104,0.166,0.488,0.156,0.35,121.028,98.153,22.875,18.559,25.772,77.568,47.205,73.823
2017,3123047,Malik Rosier,QB,Miami,ACC,545,0.238,0.212,0.35,0.088,0.264,0.426,0.114,0.418,129.933,92.856,37.076,20.502,45.485,57.093,36.658,93.275
2017,545683,Brent Stockstill,QB,Middle Tennessee,Conference USA,275,0.242,0.229,0.381,0.12,0.374,0.271,0.134,0.407,66.559,57.405,9.154,12.977,33.246,19.533,22.24,44.319
2017,4244029,Jarret Doege,QB,Bowling Green,Mid-American,217,0.244,0.271,-0.095,0.134,0.092,0.724,0.154,0.385,52.878,54.402,-1.523,11.27,7.066,37.662,20.521,32.358
2017,4050370,Keon Howard,QB,Southern Mississippi,Conference USA,220,0.245,0.196,0.422,0.217,0.13,0.296,0.23,0.265,53.998,33.75,20.248,15.419,9.599,20.458,28.308,25.689
2017,4056052,Armani Rogers,QB,UNLV,Mountain West,333,0.245,0.143,0.416,0.221,0.275,0.321,0.264,0.218,81.515,29.934,51.581,28.767,28.835,29.219,51.003,30.512
