season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2018,4361530,Artur Sitkowski,QB,Rutgers,Big Ten,293,-0.134,-0.134,-0.132,-0.211,-0.274,0.024,-0.208,-0.057,-39.276,-37.686,-1.589,-20.213,-25.224,2.38,-31.182,-8.093
2018,4362029,Kai Locksley,QB,UTEP,Conference USA,274,0.032,-0.071,0.231,-0.028,-0.349,0.501,0.049,0.007,8.666,-12.846,21.512,-2.687,-31.095,41.044,7.865,0.801
2018,4362984,Cordale Grundy,QB,UT San Antonio,Conference USA,282,0.041,-0.032,0.416,-0.027,-0.007,0.248,-0.026,0.121,11.561,-7.567,19.128,-2.653,-0.663,20.856,-4.04,15.601
2018,4240351,Tyler Vander Waal,QB,Wyoming,Mountain West,304,0.054,0.033,0.198,-0.15,-0.082,0.298,-0.088,0.186,16.347,8.804,7.543,-13.043,-8.151,32.803,-12.886,29.233
2018,4035995,Jawon Pass,QB,Louisville,ACC,366,0.068,0.055,0.154,-0.051,-0.023,0.462,-0.029,0.201,24.795,17.55,7.245,-8.11,-2.447,41.552,-6.177,30.972
2018,4037556,Steven Duncan,QB,Western Kentucky,Conference USA,256,0.069,0.062,0.094,-0.103,-0.001,0.345,-0.006,0.161,17.745,12.103,5.641,-9.502,-0.105,23.087,-0.909,18.654
2018,4038520,Reid Herring,QB,East Carolina,American Athletic,262,0.071,0.09,-0.302,-0.298,0.159,0.384,-0.176,0.31,18.557,22.481,-3.925,-26.182,13.807,31.488,-22.688,41.245
2018,4039470,Marcus Childers,QB,Northern Illinois,Mid-American,546,0.077,0,0.293,-0.153,0.162,0.287,-0.08,0.326,42.304,0.123,42.181,-32.289,27.961,43.88,-26.728,69.032
2018,4360936,Zack Annexstad,QB,Minnesota,Big Ten,206,0.08,0.084,-0.006,-0.131,0.276,0.394,-0.144,0.388,16.572,16.617,-0.044,-11.394,16.807,21.675,-17.182,33.755
2018,4362667,Tyler Vitt,QB,Texas State,Sun Belt,274,0.088,0.074,0.135,0.081,0.019,0.26,0.034,0.159,24.031,15.552,8.479,7.986,1.672,21.033,5.279,18.752
2018,3921685,Josh Love,QB,San José State,Mountain West,317,0.099,0.121,-0.378,-0.117,0.129,0.411,0.044,0.16,31.468,36.755,-5.287,-13.602,13.51,37.79,7.348,24.12
2018,4241635,Josh Adkins,QB,New Mexico State,FBS Independents,479,0.1,0.119,-0.031,-0.105,0.1,0.535,-0.101,0.372,47.817,49.764,-1.948,-20.599,14.887,63.68,-27.792,75.609
2018,4036357,Collin Hill,QB,Colorado State,Mountain West,216,0.103,0.082,0.364,-0.029,0.061,0.502,0.056,0.156,22.15,16.331,5.819,-2.516,3.849,30.101,6.405,15.745
2018,4241937,Kasim Hill,QB,Maryland,Big Ten,210,0.104,0.117,0.016,-0.299,-0.129,0.576,-0.115,0.31,21.797,21.342,0.456,-19.433,-7.599,46.088,-11.735,33.532
2018,4240703,Kenny Pickett,QB,Pittsburgh,ACC,422,0.106,0.043,0.36,-0.219,0.176,0.375,-0.11,0.342,44.58,14.366,30.213,-29.624,24.613,50.665,-24.221,68.801
2018,3929824,Brian Lewerke,QB,Michigan State,Big Ten,423,0.108,0.07,0.29,-0.03,0.185,0.298,0.081,0.143,45.573,24.709,20.863,-4.605,25.968,36.982,19.181,26.392
2018,4362340,Woody Barrett,QB,Kent State,Mid-American,546,0.112,-0.012,0.565,-0.126,0.031,0.476,-0.04,0.339,61.357,-5.33,66.687,-27.62,5.129,69.023,-12.931,74.288
2018,4039268,Tommy Lazzaro,QB,Central Michigan,Mid-American,238,0.115,0.038,0.256,-0.109,0.004,0.507,0.001,0.255,27.39,5.899,21.491,-9.508,0.331,35.012,0.103,27.287
2018,3127261,Peyton Bender,QB,Kansas,Big 12,354,0.122,0.127,-0.015,-0.128,-0.165,0.701,-0.104,0.39,43.2,43.399,-0.198,-15.401,-17.967,81.362,-19.971,63.171
2018,4040407,Jack Abraham,QB,Southern Mississippi,Conference USA,314,0.135,0.153,-0.059,-0.165,0.201,0.416,-0.022,0.333,42.541,44.07,-1.529,-19.017,22.458,34.115,-3.815,46.356
2018,4240628,N'Kosi Perry,QB,Miami,ACC,250,0.148,0.106,0.337,-0.096,0.102,0.599,-0.037,0.379,36.975,21.804,15.171,-9.371,7.864,40.728,-5.128,42.103
