season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2015,551918,Lee McNeill,QB,Charlotte,Conference USA,220,-0.185,-0.152,-0.549,-0.167,-0.24,-0.002,-0.232,-0.142,-40.624,-30.744,-9.88,-11.554,-17.025,-0.12,-24.31,-16.314
2015,513330,Max Wittek,QB,Hawai'i,Mountain West,258,-0.059,-0.094,0.611,-0.331,-0.018,0.27,-0.178,0.089,-15.124,-23.064,7.94,-32.815,-1.322,20.24,-25.415,10.291
2015,3125858,George Bollas,QB,Kent State,Mid-American,203,-0.036,-0.069,0.04,-0.273,-0.002,0.223,-0.091,0.044,-7.271,-9.754,2.483,-20.992,-0.132,13.386,-10.895,3.624
2015,3924327,Drew Lock,QB,Missouri,SEC,313,-0.001,-0.045,0.449,-0.102,0.081,0.116,0.032,-0.036,-0.329,-12.906,12.577,-11.046,8.264,10.511,5.117,-5.446
2015,3915317,Billy Bahl,QB,Miami (OH),Mid-American,258,0.013,0.003,0.14,0.034,-0.033,0.12,0.033,-0.009,3.436,0.775,2.66,3.447,-2.206,10.062,4.476,-1.04
2015,512806,Chuckie Keeton,QB,Utah State,Mountain West,246,0.033,-0.003,0.197,-0.145,-0.042,0.367,-0.114,0.218,8.126,-0.535,8.661,-13.23,-3.23,26.058,-15.591,23.717
2015,546184,Johnny McCrary,QB,Vanderbilt,SEC,336,0.036,-0.012,0.296,-0.141,-0.081,0.365,-0.062,0.174,12.105,-3.275,15.38,-17.961,-7.878,37.205,-12.119,24.224
2015,3917958,Ryan Willis,QB,Kansas,Big 12,365,0.038,0.018,0.287,-0.17,-0.193,0.512,-0.133,0.235,14.032,6.006,8.027,-19.569,-24.687,57.839,-25.906,39.939
2015,3123209,Shuler Bentley,QB,Old Dominion,Conference USA,312,0.044,0.025,0.254,-0.166,0.074,0.416,-0.012,0.121,13.63,7.273,6.357,-20.36,7.422,31.231,-2.128,15.757
2015,3914500,DaMarcus Smith,QB,North Texas,Conference USA,299,0.045,-0.061,0.342,-0.207,0.129,0.216,0.002,0.095,13.505,-13.526,27.032,-23.135,12.5,16.869,0.366,13.139
2015,3124037,Dalton Sturm,QB,UT San Antonio,Conference USA,338,0.049,0.062,0.014,-0.11,-0.041,0.542,-0.059,0.21,16.519,15.18,1.339,-14.23,-4.548,48.742,-11.885,28.404
