Rk,Team,Rec,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk,OFP,Rk,DFP,Rk,NFP,Rk
1,Tennessee,8-4,1.31,.38,2,.10,1,.08,7,.14,49,-.14,91,.30,15,66.5,5,76.1,1,9.6,1
2,Marshall,9-3,1.08,.37,3,.04,12,.02,24,.23,11,-.23,100,.15,34,67.2,13,72.2,25,4.9,12
3,San Diego State,10-3,.91,.35,4,.01,28,-.07,56,.19,19,.17,50,.03,43,66.1,3,73.2,10,7.1,5
4,North Carolina,9-3,.89,.15,20,-.01,37,.10,6,.04,89,.52,7,.26,19,68.4,26,71.7,41,3.3,27
5,Kansas State,5-7,.87,.30,6,.00,32,.07,9,.12,54,.43,13,-.36,108,67.8,17,70.1,69,2.3,39
6,Ohio State,12-1,.75,.08,44,.07,8,.03,21,.26,8,-.30,113,.23,21,67.0,11,75.5,2,8.5,2
7,Stanford,12-2,.72,.32,5,-.06,73,-.04,39,.15,38,.55,2,-.35,106,66.6,7,74.6,3,8.0,3
8,Virginia Tech,6-6,.68,.03,68,-.03,52,.06,14,.19,21,.53,5,.01,46,67.8,18,69.9,74,2.1,42
9,Wisconsin,10-3,.61,.11,28,-.01,42,-.04,42,.06,78,-.03,78,.73,3,67.2,12,71.9,33,4.7,13
10,Eastern Michigan,1-11,.60,.01,79,-.07,75,.05,18,.14,44,.44,11,.33,12,70.5,66,69.7,77,-.8,72
11,Washington,6-6,.60,.13,26,-.04,58,.11,4,.12,52,.10,57,-.01,53,68.2,24,70.9,52,2.7,36
12,Duke,7-5,.60,.42,1,-.13,102,-.10,72,.19,22,.48,9,-.45,114,66.6,6,73.3,8,6.7,6
13,Florida International,4-7,.60,.13,25,.10,2,.04,19,-.05,114,.09,60,.21,26,69.9,47,70.5,61,.6,55
14,Texas,5-7,.59,.00,85,.02,22,.12,3,.14,45,.27,39,-.06,61,70.5,63,69.7,80,-.8,71
15,Memphis,8-4,.55,.06,59,.07,9,-.01,28,.17,30,.39,20,-.31,102,70.1,53,73.5,6,3.3,26
16,Texas A&M,7-5,.55,-.08,126,.02,20,.06,13,.28,5,.23,44,-.06,62,70.2,56,72.4,20,2.3,40
17,Notre Dame,10-3,.53,.02,75,-.03,51,-.01,30,.16,37,.47,10,.13,35,71.4,87,73.0,13,1.6,47
18,East Carolina,4-7,.51,-.01,93,.01,27,-.05,43,.17,29,.30,36,.28,18,70.4,62,72.3,22,1.9,43
19,Utah,10-3,.50,-.06,121,-.07,80,.06,15,.28,7,.55,3,-.14,75,68.2,23,71.8,36,3.7,23
