"","season","team","conference","offense.plays","offense.drives","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.powerSuccess","offense.stuffRate","offense.lineYards","offense.lineYardsTotal","offense.secondLevelYards","offense.secondLevelYardsTotal","offense.openFieldYards","offense.openFieldYardsTotal","offense.totalOpportunies","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","offense.havoc.total","offense.havoc.frontSeven","offense.havoc.db","offense.standardDowns.rate","offense.standardDowns.ppa","offense.standardDowns.successRate","offense.standardDowns.explosiveness","offense.passingDowns.rate","offense.passingDowns.ppa","offense.passingDowns.successRate","offense.passingDowns.explosiveness","offense.rushingPlays.rate","offense.rushingPlays.ppa","offense.rushingPlays.totalPPA","offense.rushingPlays.successRate","offense.rushingPlays.explosiveness","offense.passingPlays.rate","offense.passingPlays.ppa","offense.passingPlays.totalPPA","offense.passingPlays.successRate","offense.passingPlays.explosiveness","defense.plays","defense.drives","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.powerSuccess","defense.stuffRate","defense.lineYards","defense.lineYardsTotal","defense.secondLevelYards","defense.secondLevelYardsTotal","defense.openFieldYards","defense.openFieldYardsTotal","defense.totalOpportunies","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","defense.havoc.total","defense.havoc.frontSeven","defense.havoc.db","defense.standardDowns.rate","defense.standardDowns.ppa","defense.standardDowns.successRate","defense.standardDowns.explosiveness","defense.passingDowns.rate","defense.passingDowns.ppa","defense.passingDowns.totalPPA","defense.passingDowns.successRate","defense.passingDowns.explosiveness","defense.rushingPlays.rate","defense.rushingPlays.ppa","defense.rushingPlays.totalPPA","defense.rushingPlays.successRate","defense.rushingPlays.explosiveness","defense.passingPlays.rate","defense.passingPlays.ppa","defense.passingPlays.successRate","defense.passingPlays.explosiveness"
"1",2015,"Air Force","Mountain West",989,177,0.272449145312858,269.452204714416,0.474216380182002,1.1540445130238,0.803921568627451,0.143034825870647,3.25485074626866,2617,1.10945273631841,892,1.42661691542289,1147,95,3.87368421052632,70.9,1.346,0.0121334681496461,0,0.0121334681496461,0.744186046511628,0.252870212373083,0.529891304347826,1.01230730045857,0.255813953488372,0.329406041137657,0.312252964426877,1.85375986619389,0.812942366026289,0.234285252983361,188.365343398622,0.48134328358209,0.989676635220403,0.173913043478261,0.461634628592561,79.4011561179205,0.401162790697674,2.26893208086944,878,173,0.172654001225214,151.590213075738,0.357630979498861,1.54920635360484,0.716981132075472,0.231981981981982,2.46373873873874,1094,0.84009009009009,373,2.02252252252252,898,77,3.58441558441558,70.7,-1.333,0.0125284738041002,0,0.0125284738041002,0.61503416856492,0.0888845474056493,0.392592592592593,1.29673182273106,0.38496583143508,0.306486856439902,108.95004816167,0.301775147928994,2.0739573393425,0.505694760820046,0.088433592004272,39.2645148498968,0.331081081081081,1.29412781764334,0.477220956719818,0.260023981292768,0.362768496420048,1.92656813009327
"2",2015,"Akron","Mid-American",879,171,0.0973150370348363,85.5399175536211,0.394766780432309,1.21434303577756,0.615384615384615,0.243512974051896,2.6750499001996,1340,1.07185628742515,537,0.872255489021956,437,83,3.4578313253012,67.6,1.562,0.0136518771331058,0,0.0136518771331058,0.658703071672355,0.045253049026582,0.452504317789292,1.00132335962513,0.341296928327645,0.197794673890767,0.283333333333333,1.87094486109447,0.569965870307167,0.050034357732579,25.0672132240221,0.375249500998004,1.00865332313001,0.411831626848692,0.196568043676618,71.1576318109357,0.397790055248619,1.61354952066298,851,166,0.0818986035246865,69.6957115995082,0.392479435957697,1.19346194017133,0.692307692307692,0.236111111111111,2.32833333333333,838,0.919444444444444,331,0.663888888888889,239,76,3.22368421052632,71,-1.351,0.0164512338425382,0,0.0164512338425382,0.653349001175088,0.00290555070085417,0.438848920863309,0.99910384433018,0.346650998824912,0.230780425118079,83.6225530606815,0.305084745762712,1.72038833334067,0.423031727379553,-0.0325644822200802,-11.7232135992289,0.380555555555556,0.87543672269039,0.568742655699177,0.172773869960086,0.392561983471074,1.47834255195045
"3",2015,"Alabama","SEC",1091,200,0.190845668098963,208.212623895968,0.451879010082493,1.14666803380623,0.781609195402299,0.174129353233831,3.06301824212272,1847,1.14427860696517,690,1.4228855721393,858,104,3.55769230769231,67.2,1.639,0.00916590284142988,0,0.00916590284142988,0.678276810265811,0.150294817843759,0.517567567567568,0.961663035981242,0.321723189734189,0.276337489149819,0.313390313390313,1.7908217989605,0.552703941338222,0.142198241712042,85.7455397523616,0.454394693200663,0.94358237511077,0.424381301558203,0.306573298102668,141.943437021535,0.423326133909287,1.596039020936,941,198,-0.0173132193749122,-16.2917394317924,0.315621679064825,1.35099577670161,0.617647058823529,0.246153846153846,2.32923076923077,908,0.787179487179487,307,0.861538461538462,336,72,2.22222222222222,72.3,-1.221,0.0201912858660999,0,0.0201912858660999,0.589798087141339,-0.131619842970925,0.354954954954955,1.08012941386796,0.410201912858661,0.147039568438008,10.2762759222642,0.259067357512953,1.88460251148388,0.414452709883103,-0.0566818500896006,-22.1059215349442,0.307692307692308,0.974959709396415,0.568544102019129,0.019207992378064,0.302803738317757,1.74145390743639
"4",2015,"Appalachian State","Sun Belt",903,168,0.267052087589932,241.148035093709,0.46843853820598,1.28794331292615,0.661764705882353,0.196943972835314,3.10560271646859,1829,1.35653650254669,799,1.83191850594227,1079,86,4.2906976744186,68.6,1.556,0.00996677740863787,0,0.00996677740863787,0.70874861572536,0.224776279749945,0.525,1.09807344839011,0.29125138427464,0.369928578151118,0.330798479087452,2.02123382423775,0.652270210409745,0.174455228569167,102.754129627239,0.456706281833616,1.01041020341834,0.332225913621262,0.461934758892549,138.580427667765,0.47,1.92300508802314,879,168,0.00948132084765928,8.33408102509251,0.374288964732651,1.11143490274309,0.720930232558139,0.199561403508772,2.71864035087719,1240,0.932017543859649,425,0.879385964912281,401,70,2.5,68.8,-1.497,0.0204778156996587,0,0.0204778156996587,0.653014789533561,-0.085872122390205,0.418118466898955,0.879488811949911,0.346985210466439,0.188933374678919,21.4792543242986,0.291803278688525,1.73690750712919,0.51877133105802,-0.00253093214328209,-1.15410505733663,0.361842105263158,0.902036061461703,0.463026166097838,0.0527745806493823,0.366093366093366,1.52185106162561
"5",2015,"Arizona","Pac-12",996,175,0.250248311812283,249.247318565034,0.457831325301205,1.32359096676061,0.694444444444444,0.179591836734694,3.08122448979592,1510,1.30816326530612,641,2.26122448979592,1108,100,4.01,71.8,1.271,0.0100401606425703,0,0.0100401606425703,0.694779116465863,0.178670050517682,0.497109826589595,1.0775649102278,0.305220883534137,0.413183038180256,0.368421052631579,2.07924242611136,0.491967871485944,0.257456137945517,126.153507593303,0.469387755102041,1.15580172123631,0.491967871485944,0.249772673612154,122.388610069956,0.428571428571429,1.60484706693672,1036,183,0.237194449821367,245.733450014936,0.445945945945946,1.20865690503322,0.846153846153846,0.173285198555957,2.90938628158845,1612,1.06859205776173,592,1.29241877256318,716,86,4.34883720930233,71.3,-1.32,0.0106177606177606,0,0.0106177606177606,0.688223938223938,0.162589509375988,0.49929873772791,0.982480680299609,0.311776061776062,0.401879658915965,170.071393075742,0.328173374613003,1.96826762206308,0.534749034749035,0.148584695478342,82.3159212950012,0.445848375451264,0.931334550975319,0.44980694980695,0.364960070977988,0.427038626609442,1.68348603211181
"6",2015,"Arizona State","Pac-12",1090,193,0.170695379152694,186.057963276436,0.420183486238532,1.21407936697287,0.649122807017544,0.189134808853119,2.93058350100604,1457,1.06036217303823,527,1.41448692152918,703,95,3.66315789473684,68.8,1.487,0.00825688073394495,0,0.00825688073394495,0.677064220183486,0.107560833973257,0.463414634146341,1.05477981622331,0.322935779816514,0.303062692625489,0.329545454545455,1.68373838728621,0.455963302752294,0.10633486734422,52.8484290700773,0.408450704225352,1.0208324848492,0.519266055045872,0.267634932189518,151.481371619267,0.404593639575972,1.58818389343419,986,193,0.203536069479727,200.686564507011,0.399594320486815,1.48271588214492,0.653061224489796,0.245098039215686,2.49975490196078,1020,1.07598039215686,439,1.51960784313725,620,81,3.54320987654321,73.2,-1.141,0.0152129817444219,0,0.0152129817444219,0.63184584178499,0.076774609089936,0.428571428571429,1.19094776534202,0.36815415821501,0.421090862380112,165.812501206092,0.349862258953168,2.09611814345497,0.413793103448276,0.111565372987802,45.5186721790233,0.392156862745098,1.15002733066261,0.566937119675456,0.296623436862418,0.388193202146691,1.8778276505184
"7",2015,"Arkansas","SEC",894,152,0.334556749753885,299.093734279973,0.504474272930649,1.25035982466494,0.746268656716418,0.171656686626747,3.1688622754491,1588,1.12375249500998,563,1.40319361277445,703,85,4.43529411764706,68.9,1.44,0.00894854586129754,0,0.00894854586129754,0.727069351230425,0.254284634437041,0.543076923076923,1.00185594425488,0.272930648769575,0.548396401212688,0.401639344262295,2.14548094491749,0.560402684563758,0.190220754611521,95.3005980603719,0.499001996007984,0.929777839019605,0.429530201342282,0.548998914578642,210.815583198199,0.5,1.762970146602,850,146,0.241127932308717,204.958742462409,0.478823529411765,1.1497665665783,0.785714285714286,0.218997361477573,2.64379947229551,1002,1.02902374670185,390,0.788918205804749,299,72,4.02777777777778,72.4,-1.242,0.0129411764705882,0,0.0129411764705882,0.683529411764706,0.195158820504805,0.524956970740103,1.00044666664279,0.316470588235294,0.340414378249507,169.3679340175,0.379182156133829,1.59626234579723,0.445882352941176,0.115037714657154,43.5992938550613,0.448548812664908,0.911956644733541,0.534117647058823,0.373057123386564,0.486784140969163,1.4443505985521
"8",2015,"Arkansas State","Sun Belt",974,191,0.175732905975159,171.163850419805,0.445585215605749,1.24159428799056,0.689189189189189,0.222608695652174,2.82173913043478,1623,1.21565217391304,699,1.74086956521739,1001,99,3.57575757575758,66.6,1.642,0.0154004106776181,0,0.0154004106776181,0.686858316221766,0.118349005808765,0.491778774289985,1.07000892327502,0.313141683778234,0.301601198471283,0.344262295081967,1.77922843076592,0.590349075975359,0.177451785697046,102.034776775802,0.450434782608696,1.09009915204689,0.398357289527721,0.191457570441681,74.2855373313723,0.422680412371134,1.59556527009223,947,202,0.120705299179115,114.307918322622,0.382259767687434,1.41414516107541,0.711111111111111,0.246411483253589,2.34019138755981,978,1.05980861244019,443,1.89473684210526,792,77,3.79220779220779,73,-1.228,0.0285110876451954,0,0.0285110876451954,0.635691657866948,0.0433998408362472,0.43687707641196,1.17638813051961,0.364308342133052,0.255597722142612,72.3609529193278,0.28695652173913,2.04576232305698,0.441393875395987,0.101111841260303,42.2647496468066,0.397129186602871,1.13290765636999,0.546990496304118,0.139692959303722,0.357142857142857,1.75230087348861
"9",2015,"Army","FBS Independents",719,132,0.191255046705607,137.512378581332,0.422809457579972,1.21838411703825,0.776119402985075,0.179054054054054,2.87736486486487,1703,1.06925675675676,633,1.44594594594595,856,61,3.39344262295082,71.8,1.278,0.0125173852573018,0,0.0125173852573018,0.688456189151599,0.158300085804635,0.480808080808081,0.998507110873565,0.311543810848401,0.264079625482309,0.294642857142857,2.01127392714724,0.82336578581363,0.154005823005298,91.1714472191362,0.430743243243243,1.02700505857755,0.166898470097357,0.421972901833118,50.6367482199742,0.358333333333333,2.57564507031616,757,138,0.207778760859429,157.288521970588,0.439894319682959,1.1960781065371,0.673469387755102,0.185714285714286,2.83261904761905,1190,1.02619047619048,431,1.28571428571429,540,72,3.95833333333333,68,-1.571,0.00792602377807133,0,0.00792602377807133,0.682959048877147,0.137069498098679,0.481624758220503,0.993389613378462,0.317040951122853,0.360098297723212,128.833374675216,0.35,1.79690471125734,0.554821664464993,0.0897461654993435,37.6933895097243,0.419047619047619,0.930823847760682,0.421400264200793,0.403866378292212,0.435736677115987,1.75328960061386
"10",2015,"Auburn","SEC",932,153,0.181566594370074,169.220065952909,0.456008583690987,1.07928483481163,0.807228915662651,0.149305555555556,3.0203125,1740,1.03298611111111,595,0.916666666666667,528,74,3.77027027027027,70.7,1.356,0.0128755364806867,0,0.0128755364806867,0.704935622317597,0.0982495816657483,0.491628614916286,0.85695766930901,0.295064377682403,0.38061851199459,0.370909090909091,1.78332085890326,0.618025751072961,0.136649718710748,78.7102379773909,0.467013888888889,0.856702522135102,0.357296137339056,0.278769068910435,92.8300999471749,0.399399399399399,1.7335590098666,1016,151,0.1522573297962,154.69344707294,0.461614173228346,1.08284808285303,0.703703703703704,0.164705882352941,3.23176470588235,1648,1.17450980392157,599,1.13725490196078,580,93,3.01075268817204,71.4,-1.299,0.0137795275590551,0,0.0137795275590551,0.696850393700787,0.116558911112456,0.507062146892655,0.945510708946077,0.303149606299213,0.234317331186106,55.2950115040873,0.357142857142857,1.53106733042209,0.501968503937008,0.196391717434463,100.159775891576,0.464705882352941,0.98856135378422,0.477362204724409,0.114010332998118,0.435051546391753,1.30013293997125
"11",2015,"Ball State","Mid-American",908,152,0.0942207810066369,85.5524691540264,0.408590308370044,1.05521934412799,0.702702702702703,0.178403755868545,2.87511737089202,1225,0.924882629107981,394,1.02347417840376,436,74,3.2027027027027,69.8,1.423,0.00991189427312775,0,0.00991189427312775,0.667400881057269,0.0575335659881434,0.457095709570957,0.90218658030367,0.332599118942731,0.167838172732488,0.311258278145695,1.50617759497198,0.469162995594714,0.0755265752685713,32.1743210644114,0.415492957746479,0.898606229432202,0.513215859030837,0.129902207626397,60.5344287539008,0.381974248927039,1.34600761082173,927,152,0.32141024661509,297.947298612188,0.483279395900755,1.27319981900798,0.75,0.178498985801217,3.03184584178499,1495,1.11359026369168,549,1.7525354969574,864,90,4.04444444444444,72,-1.293,0.0075512405609493,0,0.0075512405609493,0.705501618122977,0.244910953911555,0.509174311926605,1.11194908114673,0.294498381877023,0.504672288476306,211.041651301016,0.421245421245421,1.74012586864101,0.531823085221144,0.182323082665489,89.885279754086,0.452332657200811,1.06164172924363,0.453074433656958,0.502480122145276,0.502380952380952,1.5953888423562
