Rk,Team,Rec,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk,OFP,Rk,DFP,Rk,NFP,Rk
1,Kansas State,7-5,1.19,.30,6,.01,29,.05,11,.23,18,.56,8,-.07,65,66.4,5,72.6,20,6.2,7
2,TCU,10-3,.99,.20,12,.03,17,-.03,24,.19,31,.22,39,.44,8,70.3,51,72.3,23,2.0,32
3,Western Michigan,5-6,.81,.28,9,.02,20,-.12,67,.31,4,-.19,99,.18,29,65.2,1,70.5,70,5.3,9
4,Virginia Tech,8-4,.81,.10,33,.01,25,.04,12,.19,30,-.06,88,.46,7,67.4,8,75.7,2,8.3,2
5,Marshall,8-5,.75,.27,10,.11,4,-.15,83,.25,12,-.29,102,.11,41,71.1,75,72.6,19,1.5,39
6,Florida Atlantic,10-3,.72,.10,34,.00,33,-.05,38,.26,9,.09,63,.35,13,68.9,25,71.9,33,3.0,25
7,Colorado,4-7,.66,-.06,124,.00,32,.13,3,.17,40,.31,28,.17,30,72.1,97,73.8,8,1.6,35
8,Stanford,9-5,.65,.07,44,.09,7,.05,10,.15,46,.19,46,-.20,87,67.1,7,76.8,1,9.7,1
9,Kentucky,6-6,.65,.11,28,-.02,40,-.08,47,.21,25,.53,10,.06,47,69.4,32,71.6,36,2.2,29
10,UCF,12-0,.64,.19,14,-.02,43,-.04,32,.16,42,.14,55,.17,31,68.0,16,73.8,6,5.8,8
11,San Diego State,9-3,.63,.49,1,.01,26,.00,18,-.14,126,.15,53,-.18,85,70.0,42,72.6,18,2.6,27
12,Memphis,9-3,.54,.29,7,-.01,38,-.09,54,.13,53,.00,79,.00,58,68.7,24,71.2,49,2.5,28
13,Iowa,8-5,.52,.13,23,.12,3,-.13,75,.03,97,.27,33,.15,34,70.2,47,68.9,103,-1.3,78
14,Toledo,10-3,.50,.01,81,-.01,37,.15,2,.06,86,.14,56,.07,45,67.9,12,72.3,24,4.4,14
15,Penn State,11-2,.48,.37,3,-.02,42,-.05,33,.20,28,-.66,121,-.11,74,66.8,6,73.7,9,6.9,5
16,Arkansas State,6-5,.47,.13,24,-.22,125,.06,9,.25,13,-.01,81,.31,17,66.2,4,73.6,10,7.4,4
17,Temple,6-6,.43,.17,16,-.01,35,-.10,58,.11,67,-.12,94,.34,14,70.1,45,68.1,116,-2.0,89
18,Washington,9-3,.40,.00,91,.02,19,.22,1,.14,50,-.48,117,-.16,83,67.6,9,73.8,7,6.2,6
19,Wyoming,7-5,.39,.31,5,-.04,54,-.16,87,.12,60,.26,35,-.22,92,66.1,3,70.7,61,4.6,13
20,Wisconsin,13-1,.39,-.03,111,.06,12,-.08,48,.09,73,.53,11,.05,52,70.4,55,71.5,40,1.1,49
21,Texas A&M,6-6,.39,.10,32,-.10,97,-.09,52,.15,48,.39,19,.23,22,70.5,58,71.5,41,1.0,51
22,Utah,6-6,.38,-.02,105,-.02,41,-.11,61,.29,7,.46,12,-.09,69,70.9,70,68.8,105,-2.1,90
23,Michigan,8-5,.38,.00,92,.13,1,-.06,39,-.01,118,.31,29,.07,44,67.8,11,72.5,21,4.7,12
24,Georgia,12-2,.38,.04,56,.02,24,-.13,73,.18,34,.56,7,-.15,81,68.6,23,72.7,16,4.1,17
25,Old Dominion,4-7,.34,.19,13,-.12,106,-.19,109,.02,104,.04,68,.92,1,72.3,103,67.6,121,-4.7,118
26,Mississippi State,8-4,.34,.02,73,-.03,45,-.01,20,.19,29,.33,26,-.22,91,68.9,26,70.0,81,1.1,48
27,Boise State,11-3,.34,.09,38,.04,15,.01,16,.15,47,.00,77,-.36,108,68.6,22,72.1,29,3.4,19
28,Utah State,5-7,.33,.13,22,-.04,61,.02,14,.12,57,-.01,83,-.14,79,68.0,15,71.4,44,3.4,20
29,Florida International,7-5,.31,.01,79,.07,10,-.15,85,.08,78,.39,20,.11,39,71.6,89,71.6,37,.0,67
30,Nebraska,4-8,.28,.06,49,-.09,91,-.02,21,.16,45,.19,45,.01,57,71.2,79,71.1,53,-.1,70
31,North Texas,8-5,.27,.04,57,-.15,115,.12,5,.13,55,.57,6,-.41,111,70.9,72,70.1,79,-.8,76
32,Maryland,3-8,.27,.07,46,.01,28,.07,7,-.02,119,-.63,120,.47,6,70.8,69,68.3,115,-2.6,96
33,Minnesota,5-7,.26,.11,29,-.09,88,-.09,50,.14,49,.04,69,.22,24,69.5,35,70.9,57,1.4,42
34,Ole Miss,5-6,.25,.18,15,-.05,64,-.19,105,.08,79,.34,25,.12,38,70.6,61,71.5,43,.9,53
35,Ohio State,12-2,.24,.08,40,-.08,82,-.16,88,.22,22,.04,71,.24,21,69.7,38,72.9,15,3.1,23
36,Boston College,7-6,.23,.09,36,-.03,46,-.04,26,.11,61,-.32,105,.19,28,68.4,18,72.1,27,3.8,18
37,Florida State,6-6,.22,.09,35,.02,22,-.15,86,.01,108,.40,18,.06,48,71.2,82,68.9,102,-2.4,91
38,Air Force,4-7,.20,-.08,129,.00,31,.09,6,.03,100,.38,21,-.20,89,73.5,119,67.4,123,-6.1,128
39,Clemson,11-2,.20,.03,68,.02,21,-.10,57,.05,90,-.34,109,.56,3,69.1,27,73.3,12,4.2,15
40,North Carolina,2-9,.19,.15,17,-.06,73,-.14,80,.09,76,.01,76,.22,23,72.0,95,70.4,73,-1.6,84
41,Indiana,4-7,.19,-.02,103,-.13,108,-.04,27,.10,68,.60,3,.12,36,71.5,88,70.0,82,-1.5,81
42,Ohio,8-4,.19,.14,21,-.04,59,-.07,41,.10,72,.55,9,-.58,122,68.1,17,70.0,83,1.9,33
43,Northwestern,10-3,.19,.00,93,-.06,68,-.13,71,.23,17,.09,62,.12,37,69.5,34,70.5,69,1.0,50
44,Louisville,7-5,.18,.03,64,-.07,79,-.24,120,.18,33,.40,17,.33,15,73.4,117,70.2,77,-3.2,105
45,Bowling Green,2-9,.17,.08,39,-.09,92,-.07,44,.24,15,.14,57,-.28,99,70.1,46,70.4,74,.3,62
46,Auburn,9-4,.17,.06,51,-.08,84,-.07,45,.06,87,.40,16,.05,51,70.6,59,70.7,63,.1,66
