"","Team","Rec","STR","KRE","KE","PRE","PE","FGE","OFG","OFP","DFP","NFP","Year"
"55","Oregon","8-4",0.08,0.18,-0.01,-0.03,-0.2,0.42,-0.22,67.6,69.1,1.4,2015
"56","Pittsburgh","7-5",0.08,0.14,-0.02,-0.01,0.18,0.01,-0.83,70.4,74.2,3.8,2015
"57","North Texas","1-10",0.08,0.02,0,0.04,0.08,-0.2,-0.2,70.6,70.8,0.2,2015
"58","Nevada","6-6",0.07,0.1,-0.11,-0.23,0.1,0.48,0.11,74,68.3,-5.7,2015
"59","Rice","4-7",0.05,-0.03,0.02,-0.05,0.02,-0.58,0.65,71.9,70.8,-1.1,2015
"60","Miami","7-5",0.03,0.09,-0.04,-0.1,0.02,0.38,-0.3,69,72.4,3.5,2015
"61","Louisiana","3-8",0.01,0.06,-0.21,0.05,0.13,-0.24,0.2,70.1,71.4,1.2,2015
"62","New Mexico","6-6",0.01,0.17,0.01,-0.27,0.3,-0.74,0.01,70.8,70.8,0,2015
"63","Maryland","2-9",0,0.09,-0.1,-0.04,-0.02,-0.02,0.21,70.9,65.7,-5.2,2015
"64","Middle Tennessee","6-6",0,0.01,-0.22,0.03,-0.15,0.13,0.94,70.5,65.9,-4.6,2015
"65","Oklahoma","11-2",-0.01,0.02,-0.01,-0.23,0.22,0.03,-0.09,68.3,71.2,2.9,2015
"66","Utah State","5-7",-0.02,0.22,-0.05,-0.06,0.16,-0.29,-0.68,66.8,70.9,4,2015
"67","Ohio","7-5",-0.02,0.07,0,-0.12,0.1,-0.03,-0.25,69.6,72.6,3,2015
"68","Navy","10-2",-0.03,0.1,-0.14,-0.11,-0.05,0.22,0.34,70.1,71.4,1.3,2015
"69","Louisville","7-5",-0.03,0.08,-0.12,-0.08,0.08,0.04,0,70.4,70.6,0.2,2015
"70","South Florida","7-5",-0.03,0.11,-0.15,-0.04,0.17,-0.22,-0.13,69.5,69.6,0.2,2015
"71","Toledo","10-2",-0.04,0.16,-0.08,0.01,-0.08,-0.07,-0.1,67.5,70.3,2.8,2015
"72","UCF","0-11",-0.04,-0.04,0.08,-0.19,0.23,0.2,-0.61,70.4,68,-2.4,2015
"73","Hawaii","2-10",-0.04,-0.05,-0.05,-0.08,0.26,0.25,-0.56,72.7,69.6,-3.2,2015
"74","Boise State","8-4",-0.05,0.05,-0.08,-0.12,0.02,0.43,-0.13,68.6,71.5,2.9,2015
"75","Connecticut","5-7",-0.05,0.05,-0.14,-0.19,0.08,0.33,0.2,69.4,71.9,2.5,2015
"76","Minnesota","6-7",-0.07,0.06,-0.13,-0.16,0.12,0.44,-0.2,72.4,70,-2.4,2015
"77","USC","8-6",-0.08,0.02,0.04,0,-0.11,0.12,-0.26,73,70.1,-2.9,2015
"78","UTEP","4-7",-0.09,0.01,0.01,-0.24,0.06,-0.02,0.2,72.5,70.6,-1.9,2015
"79","Missouri","4-7",-0.14,-0.06,-0.12,-0.2,0.16,0.05,0.38,73.4,68.1,-5.2,2015
"80","Air Force","7-6",-0.14,0.04,-0.08,-0.24,0.1,0.54,-0.25,71.2,70.5,-0.7,2015
"81","Iowa","11-2",-0.14,0.11,-0.03,-0.13,0,0.36,-0.52,69.1,73,3.9,2015
"82","NC State","6-6",-0.16,0.23,-0.14,-0.06,0.18,-0.5,-0.51,67.5,73.1,5.6,2015
"83","New Mexico State","3-9",-0.16,-0.04,-0.03,-0.09,-0.04,-0.11,0.31,72.4,67.7,-4.7,2015
"84","Southern Mississippi","8-5",-0.19,0.07,-0.04,-0.14,0.09,-0.26,-0.11,66.5,71.8,5.3,2015
"85","Army","1-9",-0.2,-0.04,0.01,0.07,0.09,-0.24,-0.7,72.5,68.3,-4.1,2015
"86","Florida","10-4",-0.2,-0.01,-0.02,-0.05,0.28,-0.98,-0.09,68.7,73.8,5.1,2015
"87","UCLA","8-5",-0.21,-0.03,-0.04,-0.16,0.04,0.41,-0.26,71.7,72.3,0.7,2015
"88","Colorado","3-9",-0.22,0.03,-0.03,-0.16,0.07,-0.26,0,70.4,68.4,-2,2015
"89","Kentucky","4-7",-0.22,0.03,-0.07,-0.17,-0.04,0.29,-0.01,72.9,68.6,-4.3,2015
"90","Arkansas","7-5",-0.24,0.03,-0.07,-0.12,0.07,-0.48,0.21,68.1,71.9,3.8,2015
"91","Ole Miss","9-3",-0.25,-0.11,0.09,-0.33,0.22,0.01,-0.24,70.7,71,0.4,2015
"92","Penn State","7-6",-0.27,-0.02,-0.22,-0.09,0.08,0.3,0.03,69.6,69.4,-0.2,2015
"93","UNLV","2-9",-0.28,0,-0.01,-0.23,0.08,0.06,-0.16,72.5,70.4,-2.2,2015
"94","Iowa State","2-9",-0.29,-0.02,-0.18,-0.06,0,0.33,-0.02,71.6,68.3,-3.2,2015
"95","West Virginia","7-5",-0.3,0.03,-0.07,-0.16,0.2,0.08,-0.68,70.6,70.3,-0.3,2015
"96","Illinois","4-7",-0.31,-0.02,-0.09,-0.03,0.04,-0.13,-0.22,70.8,69.9,-0.8,2015
"97","Fresno State","2-9",-0.33,0.01,-0.09,-0.19,0,-0.27,0.38,67.9,71.8,3.9,2015
"98","UTSA","3-9",-0.35,-0.06,-0.04,-0.06,0.06,-0.38,-0.08,70.7,69.3,-1.5,2015
"99","Michigan State","12-2",-0.36,0.09,-0.08,-0.08,-0.09,-0.2,-0.1,68.8,72,3.2,2015
"100","San Jose State","5-7",-0.4,0,-0.3,-0.16,0.3,-0.33,0.21,71.1,68.3,-2.9,2015
"101","South Alabama","4-7",-0.41,0.1,-0.04,-0.23,-0.04,0.31,-0.52,72.4,65,-7.4,2015
"102","LSU","9-3",-0.41,-0.02,-0.05,-0.13,-0.05,0.11,-0.25,71.6,69.7,-1.8,2015
"103","Cincinnati","6-6",-0.43,0,-0.22,-0.19,0.12,0.38,-0.24,74.5,68.8,-5.7,2015
"104","Baylor","9-3",-0.44,0.04,-0.1,-0.2,0.14,-0.24,-0.27,70.6,69.7,-0.8,2015
"105","Idaho","3-8",-0.44,-0.05,-0.12,-0.25,0.18,0.33,-0.35,71.7,68.7,-3,2015
"106","Clemson","13-1",-0.44,0.08,-0.23,-0.27,0.08,0.35,-0.06,72.3,69.1,-3.1,2015
"107","Tulsa","6-7",-0.45,-0.04,-0.07,-0.23,0.09,-0.27,0.1,71.2,69.3,-1.9,2015
"108","Charlotte","1-10",-0.46,0.01,-0.15,-0.04,-0.08,-0.38,0.22,72.6,64.5,-8.1,2015
"109","SMU","2-9",-0.47,0.11,0,-0.28,-0.2,-0.07,0.16,72,65.9,-6.2,2015
"110","California","7-5",-0.5,0.01,-0.19,-0.08,0.06,0.24,-0.55,72.4,68.9,-3.6,2015
"111","Miami (OH)","2-9",-0.5,-0.03,0.03,-0.12,-0.01,0.01,-0.68,74.1,65.3,-8.7,2015
"112","Virginia","3-8",-0.5,-0.07,-0.12,-0.24,0.15,0.23,-0.31,72.7,68.4,-4.3,2015
"113","Massachusetts","3-9",-0.51,0.08,-0.19,-0.09,0.05,-0.11,-0.41,72.7,68.4,-4.3,2015
"114","Washington State","9-3",-0.52,-0.04,-0.16,-0.05,-0.18,0.19,0.11,69.8,68.9,-0.9,2015
"115","UL Monroe","1-11",-0.52,0.03,-0.04,-0.23,-0.14,-0.29,0.34,72.2,63.4,-8.8,2015
"116","Bowling Green","10-4",-0.55,0.03,-0.14,-0.13,0.05,-0.71,0.12,70.8,69.9,-0.9,2015
"117","Old Dominion","4-7",-0.55,-0.02,-0.12,-0.16,0.07,-0.04,-0.3,73.1,63.7,-9.4,2015
"118","Vanderbilt","3-8",-0.57,0,-0.08,-0.11,-0.09,-0.28,-0.05,71.8,68.1,-3.7,2015
"119","Kent State","2-9",-0.59,-0.05,-0.25,-0.14,0.15,-0.44,0.29,74.1,66.9,-7.2,2015
"120","Buffalo","4-7",-0.61,0,-0.18,-0.11,0.06,-0.28,-0.18,71.4,70.4,-1,2015
"121","Georgia State","6-6",-0.61,0.07,-0.05,-0.19,-0.1,-0.21,-0.26,74.9,69.6,-5.2,2015
"122","Oregon State","1-10",-0.64,0.04,-0.19,-0.16,0.04,-0.18,-0.21,74.1,67.5,-6.6,2015
"123","Boston College","1-9",-0.73,0.15,-0.26,-0.14,0.16,-0.61,-0.48,70.8,69.7,-1.1,2015
"124","Tulane","2-9",-0.82,-0.09,-0.16,-0.04,-0.13,-0.05,-0.23,73.5,67,-6.5,2015
"125","Louisiana Tech","8-4",-0.92,-0.07,-0.26,-0.1,-0.05,0.29,-0.53,71.9,67.9,-4,2015
"126","Kansas","0-11",-0.97,-0.02,-0.05,-0.22,-0.16,-0.81,0.17,72.7,67.9,-4.8,2015
"127","Purdue","1-10",-1.02,0.03,-0.15,-0.26,0.04,-0.91,-0.08,71.4,69.6,-1.9,2015
"128","Wyoming","2-9",-1.18,-0.07,-0.05,-0.29,0.05,-1.28,-0.06,74.1,68.2,-5.8,2015
"129","Memphis","7-5",1.41,0.25,0.11,-0.1,0.3,0.38,0.49,67.7,73.7,5.9,2016
"130","Stanford","10-3",1.1,0.12,0.01,-0.07,0.32,0.44,0.51,67.4,75.2,7.8,2016
"131","Michigan","10-3",1,0,0.05,0.18,0.17,0.05,0.64,63.7,73.3,9.6,2016
"132","Western Kentucky","10-3",0.95,0.38,0,0.05,0.18,0.02,-0.26,66.6,71.8,5.2,2016
"133","USC","10-3",0.94,0.27,0.04,0.09,0.01,0.39,-0.01,70.1,71.9,1.8,2016
"134","BYU","8-4",0.92,0.03,0.04,-0.09,0.31,0.29,0.57,67.7,74.2,6.6,2016
"135","Idaho","8-4",0.88,-0.01,0.05,0.25,0.16,0.51,-0.11,66.2,73.9,7.8,2016
"136","Iowa","8-4",0.75,0.21,0.06,0.16,0.09,-0.15,-0.19,67,74,7,2016
"137","North Carolina","6-5",0.74,0.15,-0.01,-0.14,0.23,0.39,0.29,71.9,71.5,-0.4,2016
"138","Texas A&M","7-5",0.71,0.13,0.01,0.06,0.26,-0.14,0.02,71.2,70.7,-0.5,2016
"139","San Diego State","10-3",0.69,0.38,0.02,-0.1,0.08,0.58,-0.56,67.2,73.5,6.3,2016
"140","Georgia Tech","8-4",0.67,0.08,0.05,-0.04,0.06,0.51,0.28,71.5,71.1,-0.4,2016
"141","Iowa State","3-8",0.63,0.14,0.01,-0.06,0.22,0.52,-0.19,70.5,73.1,2.7,2016
"142","Arizona State","4-7",0.61,0.03,-0.07,-0.1,0.29,1.03,-0.05,69.8,71.5,1.7,2016
"143","Florida","9-4",0.6,0.05,-0.02,-0.14,0.2,0.64,0.34,70,71.9,1.9,2016
"144","Utah","8-4",0.56,0.14,-0.08,-0.1,0.31,0.41,-0.1,69,74.8,5.8,2016
"145","Georgia Southern","4-7",0.53,-0.04,-0.05,0.12,0.08,0.72,0.09,72.8,68.1,-4.7,2016
"146","Minnesota","8-4",0.53,0.24,0.02,-0.12,0.11,0.6,-0.39,66.2,71.5,5.4,2016
"147","Troy","9-3",0.51,0.12,0.09,0.03,0.16,0.05,-0.39,65.9,73,7.1,2016
"148","Air Force","9-3",0.45,0.12,-0.08,0.05,0.13,0.31,-0.1,68.4,71,2.6,2016
"149","Ohio State","11-2",0.42,0.2,-0.07,-0.17,0.31,0.03,-0.11,67.7,72.3,4.6,2016
"150","Maryland","5-7",0.41,0.06,-0.01,0.05,0.1,-0.44,0.47,71.8,67.2,-4.7,2016
"151","Auburn","7-5",0.39,-0.03,0.01,-0.03,0.18,0.86,-0.35,72.2,73.1,0.9,2016
"152","Kansas State","8-4",0.39,0.12,0.03,-0.13,0.22,0.17,-0.19,69.7,73.1,3.4,2016
"153","Ohio","7-6",0.39,0.04,-0.06,-0.11,0.23,0.44,0.07,68.8,69.4,0.7,2016
"154","Temple","9-4",0.37,0.04,-0.13,0,0.13,0.37,0.31,67,70.5,3.5,2016
