season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2016,3126243,Glen Cuiellette,QB,Tulane,American Athletic,353,-0.117,-0.101,-0.155,-0.245,-0.006,-0.033,-0.227,0.022,-41.189,-25.383,-15.807,-29.452,-0.676,-3.424,-44.662,3.472
2016,3127375,Giovanni Rescigno,QB,Rutgers,Big Ten,220,0.018,-0.034,0.226,-0.069,-0.079,0.249,0.033,-0.003,3.949,-5.982,9.931,-5.129,-5.851,16.168,4.221,-0.271
2016,3914395,James Morgan,QB,Bowling Green,Mid-American,329,0.02,-0.012,0.358,-0.148,0.091,0.079,-0.064,0.146,6.455,-3.572,10.028,-18.084,9.97,6.106,-12.612,19.067
2016,545417,Montell Cozart,QB,Kansas,Big 12,218,0.031,0.005,0.237,-0.154,0.06,0.329,-0.134,0.303,6.653,0.966,5.687,-12.606,3.841,22.063,-18.222,24.875
2016,548240,Tyler Jones,QB,Texas State,Sun Belt,454,0.05,0.051,0.046,-0.053,0.122,0.163,-0.006,0.124,22.832,19.12,3.713,-8.625,19.602,19.284,-1.536,24.368
2016,3931782,Chase Litton,QB,Marshall,Conference USA,344,0.09,0.086,0.287,-0.036,0.02,0.218,0.056,0.135,31.054,29.042,2.012,-4.902,2.204,19.411,10.886,20.168
2016,3916564,Tyree Jackson,QB,Buffalo,Mid-American,407,0.098,0.069,0.2,0.055,-0.103,0.408,0.017,0.198,39.756,21.955,17.801,8.139,-13.421,47.787,3.888,35.868
2016,4039073,Mason Fine,QB,North Texas,Conference USA,349,0.098,0.061,0.277,-0.026,0.018,0.447,0.064,0.144,34.072,17.725,16.347,-3.584,1.982,41.112,12.967,21.105
2016,545645,Kurt Benkert,QB,Virginia,ACC,463,0.099,0.089,0.247,-0.071,0.023,0.395,0.09,0.112,45.632,38.471,7.16,-13.597,3.411,45.807,24.886,20.746
2016,4042113,McKenzie Milton,QB,UCF,American Athletic,384,0.106,0.064,0.292,-0.012,0.036,0.443,0.032,0.195,40.515,20.062,20.453,-1.678,4.515,46.099,6.709,33.805
2016,3128843,Alex McGough,QB,Florida International,Conference USA,328,0.113,0.11,0.143,-0.061,0.083,0.368,-0.055,0.36,37.14,32.408,4.732,-7.489,9.68,29.458,-10.708,47.848
2016,549956,Bryant Shirreffs,QB,Connecticut,American Athletic,425,0.13,0.186,-0.006,-0.037,0.081,0.404,0.042,0.276,55.424,56.123,-0.698,-5.693,11.363,47.277,11.021,44.403
2016,546469,Ryan Burns,QB,Stanford,Pac-12,222,0.13,0.139,0.089,-0.059,-0.012,0.475,-0.041,0.352,28.94,25.644,3.297,-4.162,-0.92,34.705,-5.173,34.114
2016,546033,Anthony Jennings,QB,Louisiana,Sun Belt,465,0.148,0.089,0.339,-0.044,0.327,0.378,-0.013,0.369,68.835,31.843,36.992,-8.089,43.209,51.373,-3.394,72.229
2016,3915776,Kyle Shurmur,QB,Vanderbilt,SEC,423,0.15,0.161,-0.057,-0.033,0.151,0.334,0.062,0.255,63.418,64.625,-1.207,-5.279,17.308,46.362,14.192,49.225
2016,534652,Wes Lunt,QB,Illinois,Big Ten,250,0.152,0.143,0.469,0.097,0.001,0.312,0.051,0.308,37.924,34.644,3.28,9.371,0.044,24.332,7.756,30.168
2016,3124981,Tyler Rogers,QB,New Mexico State,FBS Independents,488,0.154,0.078,0.495,-0.084,0.254,0.394,0.038,0.325,75.311,31.279,44.032,-17.055,39.656,45.347,11.001,64.31
2016,3124092,John Wolford,QB,Wake Forest,ACC,428,0.155,0.077,0.413,0.057,0.098,0.439,0.084,0.253,66.162,25.302,40.859,10.163,12.241,52.27,21.087,45.075
2016,3116188,David Blough,QB,Purdue,Big Ten,598,0.156,0.126,0.475,-0.172,0.028,0.71,-0.039,0.425,93.248,68.537,24.711,-38.094,5.515,115.005,-13.469,106.718
2016,534770,Austin Appleby,QB,Florida,SEC,249,0.158,0.157,0.167,0.059,0.242,0.292,0.003,0.388,39.246,35.739,3.507,5.822,16.906,22.458,0.403,38.843
2016,535844,C.J. Beathard,QB,Iowa,Big Ten,380,0.164,0.107,0.492,-0.009,0.185,0.207,0.123,0.207,62.176,34.637,27.54,-1.032,21.496,26.913,24.453,37.723
2016,3124698,Ryan Metz,QB,UTEP,Conference USA,206,0.173,0.127,0.621,-0.082,0.104,0.611,-0.013,0.443,35.62,23.825,11.795,-5.19,7.488,39.109,-1.611,37.231
2016,4038809,Jake Bentley,QB,South Carolina,SEC,240,0.173,0.17,0.194,0.037,0.132,0.449,0.017,0.367,41.565,36.316,5.249,3.201,9.645,32.756,2.287,39.277
2016,536503,Tyler Stehling,QB,Rice,Conference USA,413,0.174,0.141,0.315,-0.003,0.193,0.38,0.043,0.346,71.781,47.173,24.608,-0.54,26.209,40.696,10.167,61.615
2016,530944,Patrick Towles,QB,Boston College,ACC,385,0.175,0.117,0.374,-0.072,0.308,0.356,0.013,0.363,67.33,34.767,32.562,-9.1,25.583,57.71,2.738,64.592
2016,3125813,Hayden Moore,QB,Cincinnati,American Athletic,309,0.18,0.195,0.066,-0.04,0.144,0.462,0.101,0.275,55.638,53.254,2.385,-4.185,15.705,41.156,17.114,38.524
2016,3920819,Quinton Maxwell,QB,Ohio,Mid-American,229,0.181,0.225,0.06,-0.024,0.213,0.553,0.104,0.277,41.407,37.749,3.657,-2.116,14.088,37.59,13.174,28.233
2016,550339,Nick Holley,QB,Kent State,Mid-American,347,0.181,0.09,0.27,0.014,0.212,0.457,0.067,0.373,62.676,15.621,47.055,1.871,25.02,41.55,14.594,48.082
2016,3914864,Kenny Potter,QB,San José State,Mountain West,445,0.183,0.162,0.258,0.02,0.006,0.618,0.174,0.196,81.637,56.078,25.559,3.295,0.804,76.619,43.086,38.551
2016,546876,Troy Williams,QB,Utah,Pac-12,493,0.184,0.195,0.13,0.05,0.273,0.26,0.042,0.371,90.712,80.07,10.642,9.047,45.807,36.159,11.787,78.924
2016,3129089,Ahmad Bradshaw,QB,Army,FBS Independents,250,0.186,-0.02,0.298,-0.003,0.149,0.512,0.111,0.314,46.502,-1.734,48.236,-0.257,11.766,32.744,17.581,28.921
2016,531259,Mike Fafaul,QB,UCLA,Pac-12,280,0.187,0.184,0.234,-0.108,0.422,0.38,0.016,0.384,52.261,48.987,3.274,-12.156,36.283,29.248,2.4,49.861
2016,3915468,Riley Neal,QB,Ball State,Mid-American,516,0.19,0.15,0.337,0.02,0.234,0.44,0.089,0.355,97.931,61.213,36.718,3.903,40.426,61.218,28.423,69.508
2016,546362,Luke Del Rio,QB,Florida,SEC,214,0.191,0.199,0.013,0.153,-0.079,0.61,0.066,0.351,40.887,40.768,0.119,12.423,-5.246,39.038,7.875,33.012
2016,3918038,Chason Virgil,QB,Fresno State,Mountain West,397,0.201,0.19,0.268,-0.077,0.242,0.466,0.048,0.358,79.818,65.062,14.757,-10.372,31.034,56.333,9.667,70.152
2016,546145,Brandon Silvers,QB,Troy,Sun Belt,416,0.202,0.189,0.343,0.151,0.14,0.323,0.22,0.169,83.908,72.253,11.655,25.293,18.849,32.641,58.696,25.212
2016,3128814,Manny Wilkins,QB,Arizona State,Pac-12,438,0.203,0.185,0.268,0,0.319,0.348,0.105,0.344,88.944,62.961,25.983,-0.026,45.229,41.04,27.014,61.93
2016,4039034,Shane Buechele,QB,Texas,Big 12,484,0.203,0.21,0.162,0.159,0.294,0.236,0.235,0.15,98.177,86.979,11.198,29.751,50.631,27.106,70.845,27.332
2016,534317,Perry Hills,QB,Maryland,Big Ten,282,0.204,0.143,0.455,0.141,0.185,0.354,0.154,0.263,57.498,32.454,25.043,15.543,15.149,30.064,23.57,33.928
2016,3125353,Kent Myers,QB,Utah State,Mountain West,476,0.205,0.155,0.412,0.006,0.03,0.616,0.094,0.347,97.679,59.366,38.313,0.961,4.372,90.613,25.187,72.492
2016,482594,Taysom Hill,QB,BYU,FBS Independents,466,0.209,0.108,0.549,0.032,0.082,0.543,0.131,0.338,97.193,38.985,58.208,5.349,13.026,70.628,37.985,59.208
2016,3916208,Ben Hicks,QB,SMU,American Athletic,464,0.211,0.205,0.339,-0.029,0.049,0.648,0.104,0.344,97.707,91.269,6.439,-4.542,7.183,97.914,26.91,70.797
2016,4035003,Jacob Eason,QB,Georgia,SEC,398,0.213,0.198,0.663,-0.059,0.036,0.617,0.089,0.331,84.577,76.619,7.959,-7.315,4.619,84.555,17.432,67.145
2016,530738,Philip Nelson,QB,East Carolina,American Athletic,408,0.225,0.231,0.183,0.021,0.074,0.678,0.161,0.324,91.98,83.741,8.239,3.377,9.783,66.481,39.554,52.426
2016,3116144,Clayton Thorson,QB,Northwestern,Big Ten,574,0.226,0.213,0.336,0.03,0.103,0.549,0.132,0.364,129.543,110.046,19.497,6.594,17.492,88.333,45.001,84.542
2016,3139889,Hasaan Klugh,QB,Charlotte,Conference USA,303,0.227,0.106,0.621,-0.032,0.315,0.412,0.136,0.348,68.688,24.573,44.115,-3.55,28.661,35.813,23.442,45.247
2016,530731,Mitch Leidner,QB,Minnesota,Big Ten,416,0.23,0.181,0.39,0.164,0.132,0.472,0.243,0.213,95.541,58.068,37.473,27.026,16.49,57.529,56.836,38.705
2016,532440,Greg Windham,QB,Ohio,Mid-American,379,0.233,0.204,0.332,0.101,0.147,0.485,0.132,0.374,88.451,59.534,28.917,15.93,16.291,49.425,28.959,59.493
2016,3122713,Jason Driskel,QB,Florida Atlantic,Conference USA,378,0.234,0.188,0.516,0.117,0.338,0.3,0.199,0.282,88.51,61.142,27.368,17.062,39.541,31.757,43.469,45.042
2016,531455,Cooper Rush,QB,Central Michigan,Mid-American,524,0.235,0.236,0.234,0.04,0.124,0.589,0.107,0.396,123.362,114.942,8.42,8.088,19.351,90.135,31.016,92.346
2016,550278,Sefo Liufau,QB,Colorado,Pac-12,435,0.237,0.251,0.202,0.064,0.206,0.518,0.177,0.322,103.219,78.338,24.88,10.035,30.025,62.655,45.242,57.977
2016,545624,J.T. Barrett,QB,Ohio State,Big Ten,577,0.238,0.204,0.315,0.168,0.115,0.532,0.103,0.441,137.183,82.102,55.081,36.356,23.374,78.157,35.85,101.333
2016,3116772,Andrew Ford,QB,UMass,FBS Independents,406,0.241,0.22,0.75,-0.081,0.277,0.724,0.069,0.514,97.884,85.885,11.999,-14.22,33.476,67.326,17.229,80.655
2016,3924327,Drew Lock,QB,Missouri,SEC,481,0.243,0.23,0.382,0.21,0.166,0.392,0.291,0.177,116.733,101.452,15.281,43.731,22.604,49.802,80.801,35.932
2016,4038524,Gardner Minshew,QB,East Carolina,American Athletic,221,0.246,0.282,-0.385,-0.104,0.251,0.75,-0.066,0.668,54.405,59.026,-4.62,-9.23,17.348,39.009,-8.341,62.746
2016,3917792,Daniel Jones,QB,Duke,ACC,533,0.246,0.204,0.439,0.02,0.27,0.568,0.183,0.36,131.173,89.469,41.705,4.229,45.624,81.249,62.849,68.324
2016,3886609,Alex Hornibrook,QB,Wisconsin,Big Ten,204,0.249,0.291,-0.561,0.048,0.097,0.523,0.031,0.463,50.789,56.402,-5.613,2.555,5.619,46.51,3.15,47.639
2016,3124944,Garrett Smith,QB,Louisiana Monroe,Sun Belt,236,0.251,0.189,0.464,0.192,0.089,0.622,0.133,0.422,59.186,34.586,24.601,16.302,7.222,41.053,18.671,40.515
2016,3125259,Dallas Davis,QB,South Alabama,Sun Belt,436,0.252,0.224,0.393,0.095,0.251,0.456,0.266,0.236,109.872,81.547,28.324,12.667,41.68,55.118,60.462,49.409
2016,549759,P.J. Walker,QB,Temple,American Athletic,457,0.254,0.28,-0.023,-0.004,0.365,0.462,-0.018,0.531,115.948,116.845,-0.896,-0.678,54.784,61.941,-4.047,119.995
2016,550386,Davis Webb,QB,California,Pac-12,651,0.259,0.257,0.329,0.137,0.194,0.465,0.172,0.41,168.465,162.546,5.919,37.02,40.619,72.549,70.86,97.605
2016,546687,Richard Lagow,QB,Indiana,Big Ten,479,0.264,0.273,-0.041,0.021,0.403,0.526,-0.026,0.593,126.242,126.864,-0.622,3.417,63.223,73.592,-6.667,132.909
2016,532644,Anthony Maddie,QB,Northern Illinois,Mid-American,230,0.267,0.209,0.404,0.131,0.352,0.5,0.133,0.538,61.324,33.884,27.439,12.749,25.673,28.012,20.441,40.883
2016,550226,Conner Manning,QB,Georgia State,Sun Belt,397,0.268,0.268,0.292,-0.005,0.217,0.637,0.094,0.449,106.592,101.921,4.671,-0.671,29.896,74.508,19.043,87.548
2016,3139921,Christian Chapman,QB,San Diego State,Mountain West,288,0.268,0.308,0.023,0.179,0.223,0.442,0.264,0.272,77.08,76.122,0.959,16.781,22.479,38.921,40.909,36.172
2016,3916447,Eric Dungey,QB,Syracuse,ACC,476,0.27,0.291,0.193,0.046,0.138,0.691,0.172,0.441,128.388,108.517,19.871,8.399,21.143,86.359,52.041,76.347
2016,4035409,Zach Smith,QB,Baylor,Big 12,218,0.272,0.285,0.052,0.27,0.325,0.3,0.285,0.251,59.316,58.69,0.626,26.443,20.499,12.893,38.219,21.096
2016,4038224,Dru Brown,QB,Hawai'i,Mountain West,402,0.273,0.244,0.419,0.218,0.176,0.378,0.345,0.165,109.726,82.046,27.68,33.854,22.664,40.03,83.404,26.322
2016,534449,Trevor Knight,QB,Texas A&M,SEC,451,0.279,0.192,0.639,0.025,0.304,0.633,0.198,0.429,125.873,69.684,56.19,4.632,43.113,70.283,58.144,67.729
2016,535113,David Washington,QB,Old Dominion,Conference USA,376,0.282,0.291,0.222,0.428,0.041,0.512,0.351,0.162,106.167,95.932,10.234,59.497,5.732,41.945,83.984,22.182
2016,546288,Ryan Finley,QB,NC State,ACC,471,0.283,0.327,-0.041,-0.013,0.371,0.668,0.137,0.459,133.171,135.487,-2.316,-2.323,51.253,97.509,35.349,97.822
2016,536228,Tyler Stewart,QB,Nevada,Mountain West,217,0.286,0.265,0.392,0.069,0.232,0.648,0.251,0.333,62.127,48.009,14.118,5.582,18.298,35.002,31.147,30.98
2016,4040715,Jalen Hurts,QB,Alabama,SEC,569,0.286,0.258,0.352,0.093,0.327,0.536,0.167,0.497,162.874,103.396,59.478,22.336,59.516,75.555,60.539,102.334
2016,550629,Luke Falk,QB,Washington State,Pac-12,696,0.289,0.304,0.017,0.066,0.401,0.502,0.161,0.527,201.125,200.505,0.62,18.786,97.729,72.312,72.975,128.15
2016,3124037,Dalton Sturm,QB,UT San Antonio,Conference USA,360,0.291,0.247,0.493,-0.077,0.42,0.541,0.049,0.568,104.841,72.805,32.035,-9.104,44.565,66.484,9.371,95.469
2016,549865,Kenny Hill,QB,TCU,Big 12,564,0.293,0.22,0.627,0.169,0.133,0.684,0.236,0.388,165.236,101.92,63.316,38.308,25.101,95.777,83.425,81.811
2016,532925,Kevin Ellison,QB,Georgia Southern,Sun Belt,245,0.294,0.391,0.211,0.008,0.444,0.496,0.101,0.638,72.024,44.165,27.86,0.758,37.701,31.256,15.885,56.14
2016,3129302,DeShone Kizer,QB,Notre Dame,FBS Independents,487,0.298,0.259,0.444,0.17,0.314,0.563,0.176,0.479,144.94,100.063,44.877,33.248,49.262,68.069,51.526,93.414
