"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",15,"Memphis",0.55,-0.01,0.17,3.3,2015,56,"American Athletic",0.2514894723354,262.303519645822,0.466922339405561,1.21126073374786,4.18947368421053,67.2,1.634,0.158757337173337,152.72455836075,0.422037422037422,1.23666748572954,0.202755905511811,3.83333333333333,73.7,-1.12,42,0.58,0.36,37,8,47,0.692,7.7,46,381.8,96,50,49
"2",129,"Memphis",1.41,-0.1,0.3,5.9,2016,184,"American Athletic",0.247232683227637,241.546331513401,0.455475946775844,1.33094547461952,3.77669902912621,67.3,1.609,0.186810950747704,192.041657368639,0.446498054474708,1.1986035861351,0.180914512922465,3.44047619047619,72.6,-1.207,41,0.57,0.34,33,7.7,49,0.615,5.9,52,451.24,79,27,30
"3",268,"Memphis",0.54,-0.09,0.13,2.5,2017,313,"American Athletic",0.343568817138018,325.016101012565,0.456659619450317,1.50669983517005,4.22448979591837,68.3,1.537,0.199440502852439,209.013646989356,0.431297709923664,1.33727197481542,0.2015065913371,3.67021276595745,69.9,-1.44,30,0.67,0.47,25,7.8,42,0.769,8.9,30,507.97,70,40,28
"4",440,"Memphis",0.1,-0.08,0.11,2,2018,443,"American Athletic",0.311933005619536,322.538727810601,0.473887814313346,1.36988793904398,4.18811881188119,69.7,1.449,0.18054463556125,193.54384932166,0.399253731343284,1.39083172635917,0.19672131147541,4.01162790697674,71.7,-1.272,48,0.34,0.04,61,9.2,36,0.571,4.5,51,498,75,24,39
"5",518,"Memphis",1.09,-0.19,0.18,0.8,2019,573,"American Athletic",0.32266702841229,323.957696525939,0.475099601593626,1.39359428238967,3.72641509433962,68.9,1.513,0.156102168101476,157.038781110085,0.398608349900596,1.25110000293721,0.203669724770642,3.65060240963855,72.3,-1.198,19,1.15,0.62,19,18,17,0.857,10.3,24,551.97,71,47,54
"6",688,"Memphis",0.21,-0.1,0.15,-0.7,2020,702,"American Athletic",0.207838885234437,168.141658154659,0.42274412855377,1.41198488576253,3.72368421052632,72.2,1.278,0.219028942439292,180.917906454856,0.422518159806295,1.32236930707298,0.180156657963446,3.625,72.3,-1.226,68,-0.01,-0.2,81,4.8,49,0.727,0.6,69,584,64,-5,15
