"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",1,"Tennessee",1.31,0.08,0.14,9.6,2015,100,"SEC",0.171353766856647,172.21053569093,0.445771144278607,1.17431726137049,3.67676767676768,67.3,1.619,0.115676013202887,104.918143975019,0.373759647188534,1.23772399838423,0.2,2.95522388059702,75.3,-1.045,10,1.38,0.75,7,19.5,12,0.692,20.5,9,810.53,12,3,0
"2",165,"Tennessee",0.32,-0.16,0.2,5.3,2016,228,"SEC",0.22751581715498,202.944108902243,0.4652466367713,1.26622220993189,3.3695652173913,65.3,1.742,0.18152585758504,179.529073151605,0.433771486349848,1.21114212735334,0.217391304347826,2.62637362637363,71.3,-1.3,20,0.97,0.4,25,16.3,15,0.692,15.5,17,813.92,14,-3,-1
"3",341,"Tennessee",-0.15,-0.27,0.29,0.4,2017,357,"SEC",0.0531325406096744,39.0524173481107,0.39047619047619,1.1028087431277,2.88888888888889,66.7,1.634,0.198780675528336,165.981864066161,0.475449101796407,1.02586485490616,0.158095238095238,3.8125,69.2,-1.497,77,-0.22,-0.28,88,1.2,67,0.333,-2.6,73,817.35,12,-61,-55
"4",473,"Tennessee",-0.17,-0.15,0.16,-0.5,2018,487,"SEC",0.131040359315654,93.9559376293238,0.387726638772664,1.33925669741991,3.47540983606557,71.1,1.321,0.182492168905001,147.271180306336,0.462205700123916,1.11395529015137,0.17688679245283,3.83783783783784,71.5,-1.321,52,0.24,0.09,57,5.5,48,0.417,1.2,65,825.7,15,-50,-33
"5",546,"Tennessee",0.3,0.01,0.06,0.7,2019,617,"SEC",0.143663216086261,119.384132567683,0.411552346570397,1.25739061547454,3.16216216216216,71.1,1.335,0.106040136376637,93.1032397386872,0.415717539863326,1.1182708923657,0.166301969365427,2.8875,71.3,-1.308,37,0.54,0.19,47,10.8,29,0.615,7.8,33,830.34,16,-17,-13
"6",723,"Tennessee",-0.09,-0.14,0.3,0.4,2020,744,"SEC",0.126617965408168,83.5678571693906,0.431818181818182,1.190444200062,3.01785714285714,72.7,1.207,0.199127864025939,138.194737634002,0.475504322766571,1.12201647417325,0.217983651226158,3.83333333333333,71.8,-1.27,79,-0.13,-0.32,92,4.6,50,0.3,3,53,842.87,15,-38,-35
