"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",87,"UCLA",-0.21,-0.16,0.04,0.7,2015,110,"Pac-12",0.224368597991615,220.554331825757,0.462868769074262,1.2555387116418,4.01086956521739,68.7,1.534,0.112003139782188,118.275315609991,0.439393939393939,1.00783226098686,0.140287769784173,3.15555555555556,70.8,-1.342,20,1,0.37,35,18.6,16,0.615,14.7,20,793.22,14,-6,-2
"2",245,"UCLA",-0.69,-0.08,-0.05,-2.9,2016,238,"Pac-12",0.141042570475451,118.898886910805,0.385527876631079,1.32625069775766,3.36111111111111,70.6,1.373,0.0740878686673087,70.9761781832817,0.41231732776618,1.03536243554549,0.163865546218487,3.35443037974684,67.7,-1.579,52,0.41,0.11,55,9.1,44,0.333,7.9,43,819.16,12,-31,-32
"3",349,"UCLA",-0.23,-0.18,0.03,-3.1,2017,368,"Pac-12",0.233646240262518,219.393819606504,0.462193823216187,1.2496596983106,4.25581395348837,71.7,1.309,0.233402870963062,240.171554220991,0.463556851311953,1.17109636784887,0.156549520766773,3.87254901960784,69.6,-1.432,55,0.2,0.05,59,4.9,51,0.462,4.8,45,830.58,11,-34,-40
"4",470,"UCLA",-0.14,-0.15,-0.05,-6.1,2018,498,"Pac-12",0.178732710304576,152.816467310412,0.431578947368421,1.22974276916738,3.5,74.1,1.069,0.225796567803375,200.7331487772,0.470191226096738,1.19796997068612,0.162,4.2875,68.3,-1.504,83,-0.16,-0.13,78,-0.4,76,0.25,0.8,68,778.12,19,-49,-57
"5",547,"UCLA",0.29,-0.03,0.09,-0.6,2019,628,"Pac-12",0.151994355796946,140.442784756378,0.436147186147186,1.21596999266973,3.35526315789474,70.6,1.337,0.332220623350811,273.749793641069,0.475728155339806,1.351880057127,0.227154046997389,4.24390243902439,70.6,-1.32,73,-0.21,-0.07,68,-3.9,79,0.333,0.9,58,741.4,22,-36,-57
"6",691,"UCLA",0.17,-0.17,0.1,-4.6,2020,755,"Pac-12",0.255898572682491,131.5318663588,0.455252918287938,1.3123024478618,3.95918367346939,71.8,1.285,0.160060282699911,84.0316484174531,0.462857142857143,1.13033987244032,0.18595041322314,3.43636363636364,69.2,-1.434,44,0.35,0.15,46,5.5,46,0.429,8.5,29,696.17,31,2,-15
