"","V1","Team","STR","NFP","Year","offense.totalPPA","offense.successRate","offense.fieldPosition.averagePredictedPoints","defense.totalPPA","defense.successRate","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","predictedFPI","Diff","predictedSTR","STR_diff","predictedNFP","NFP_diff","predicted_offPPA","offPPA_diff","predictedOSR","OSR_diff","predictedPP","PP_diff","predicted_defPPA","defPPA_diff","predictedDSR","DSR_diff","predictedDPP","DPP_diff","STR_devs","NFP_devs","oPPA_devs","OSR_devs","PP_devs","dPPA_devs","DSR_devs","DPP_devs"
"1",310,"Arkansas",0.02,-2.8,2017,163.646315630991,0.434456928838951,1.562,200.068666659491,0.466992665036675,-1.647,68,-0.05,-0.12,72,2.1,63,0.333,-1.4,69,718.34,22,9.0817593326724,-10.4817593326724,0.0856854958693705,-0.0656854958693705,0.78590473401777,-3.58590473401777,176.832536341303,-13.1862207103121,0.44127866688561,-0.00682173804665864,1.42777525184665,0.134224748153355,119.008133652447,81.0605330070437,0.413923427943919,0.0530692370927558,-1.3442756116168,-0.3027243883832,-0.151752660812237,-0.972259812124732,-0.154874890824621,-0.163756909727992,0.811046798041221,1.12918247682589,1.28177362571585,-1.82590409573016
"2",480,"Arkansas",-0.51,-8.7,2018,85.7884072011085,0.386391251518834,1.126,176.9231489531,0.462365591397849,-1.589,77,-0.12,-0.28,92,4.5,53,0.167,-5.2,91,694.63,27,7.93492874713275,-13.1349287471327,0.0744497961866461,-0.584449796186646,0.663867914833023,-9.36386791483302,173.914836127042,-88.1264289259332,0.439840639491411,-0.053449387972577,1.42607309918542,-0.300073099185424,121.444369148914,55.4787798041863,0.415198084332308,0.0471675070655406,-1.35058358391937,-0.238416416080629,-1.35024955674957,-2.53886065998073,-1.03506314345201,-1.28306108228956,-1.81317774569102,0.772825734875515,1.13922999197643,-1.43802589852746
"3",551,"Arkansas",0.09,-1.1,2019,51.0608068772975,0.382093316519546,1.324,261.298276410158,0.470023980815348,-1.4,105,-0.72,-0.4,96,-10.6,108,0.167,-7,91,707.72,26,8.56807983801061,-15.5680798380106,0.0806528880823383,0.00934711191766172,0.731242944910136,-1.83124294491014,175.525662605518,-124.464855728221,0.440634556766403,-0.058541240246857,1.42701283677865,-0.10301283677865,120.09935343197,141.198922978188,0.414494362184522,0.0555296186308259,-1.34710102983077,-0.0528989701692268,0.0215945557788865,-0.496511774192674,-1.46186548563802,-1.40529180817268,-0.622450275198218,1.96691711316289,1.34119886597669,-0.319063973694889
