"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",9,"Wisconsin",0.61,-0.04,0.06,4.7,2015,127,"Big Ten",0.12705221884831,119.55613793626,0.437832093517535,1.09078851146096,3.83333333333333,65,1.784,0.0238864526561783,18.9419569563494,0.331651954602774,1.18426240004467,0.204359673024523,2.06060606060606,68.5,-1.524,21,0.95,0.47,25,15.1,22,0.769,13.9,26,635.77,37,11,15
"2",197,"Wisconsin",-0.07,-0.13,0,5.9,2016,255,"Big Ten",0.156712140438766,156.085291877011,0.456827309236948,1.08413744068691,3.76595744680851,68.7,1.515,0.0428633176404912,37.1196330766654,0.387990762124711,1.09840344496249,0.213541666666667,2.40845070422535,73.3,-1.18,12,1.32,0.79,8,16.1,16,0.786,17.8,12,643.76,37,25,21
"3",276,"Wisconsin",0.39,-0.08,0.09,1.1,2017,385,"Big Ten",0.221462445327978,212.603947514859,0.459375,1.17830349173569,3.89795918367347,64.4,1.815,-0.0381479760552552,-32.1205958385249,0.339667458432304,1.15226278117112,0.18925831202046,1.89705882352941,71.3,-1.311,6,1.9,1.06,7,26.8,3,0.929,21.7,7,639.76,37,30,34
"4",497,"Wisconsin",-0.42,-0.11,0,0,2018,515,"Big Ten",0.268546239958681,234.709413723888,0.524027459954233,1.0582956053359,4.02380952380952,70,1.437,0.119342592442982,97.9802683956882,0.426309378806334,1.07288176262594,0.189252336448598,3.025,70.2,-1.381,25,0.84,0.35,34,15.5,19,0.615,11.8,24,653.5,36,12,17
"5",570,"Wisconsin",0.11,-0.16,0.08,1.8,2019,645,"Big Ten",0.295454502912351,284.227231801682,0.495841995841996,1.14907622796801,4.07608695652174,69.2,1.486,0.0403433119750914,34.009411995002,0.355871886120996,1.33713793578365,0.239247311827957,3.01492537313433,72.1,-1.219,6,1.65,1.12,5,20.3,11,0.714,21.3,8,675.8,33,25,22
"6",704,"Wisconsin",0.07,-0.07,0.23,7.4,2020,772,"Big Ten",0.109475414008851,53.5334774503281,0.439672801635992,1.12017634245924,3.46666666666667,69.1,1.489,0.0386423826572,15.9593040374236,0.346246973365617,1.27742394100239,0.267379679144385,2.4,72.7,-1.251,18,0.99,0.37,26,16.3,15,0.571,18.1,9,712.56,27,18,12
