"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",29,"Nebraska",0.31,-0.06,0.17,-1.1,2015,67,"Big Ten",0.205874048072244,199.286078533932,0.447314049586777,1.26761451138973,3.85858585858586,69.5,1.478,0.144906239392588,129.401271777581,0.394176931690929,1.36606653399392,0.235127478753541,3.66666666666667,69,-1.486,41,0.6,0.26,46,11.1,33,0.462,9.4,39,699.89,24,-15,-9
"2",160,"Nebraska",0.34,-0.05,-0.01,1.2,2016,195,"Big Ten",0.126883991743952,117.748344338388,0.428879310344828,1.200452274417,3.7375,68.6,1.502,0.130893473490449,113.222854569238,0.423121387283237,1.19463101991401,0.203931203931204,3.13698630136986,68,-1.583,44,0.56,0.22,45,10.3,38,0.692,7,48,691.61,26,-22,-12
"3",286,"Nebraska",0.28,-0.02,0.16,-0.1,2017,324,"Big Ten",0.0980050981425823,82.0302671453414,0.397849462365591,1.268430045467,3.56521739130435,70.5,1.383,0.261567379531627,217.885627149846,0.51140456182473,1.113478026499,0.142222222222222,4.05882352941176,69.4,-1.457,66,-0.03,-0.11,71,2.5,62,0.333,-2.1,70,693.46,29,-41,-33
"4",495,"Nebraska",-0.41,-0.25,0.04,-5.5,2018,454,"Big Ten",0.232993470559708,203.636293269185,0.480549199084668,1.16970056656443,3.51851851851852,73.8,1.162,0.172724710647881,156.143138425684,0.448008849557522,1.23901878967234,0.146726862302483,3.54878048780488,68.5,-1.505,55,0.23,0.07,58,5.4,49,0.333,3.1,57,700.26,26,-31,-23
"5",639,"Nebraska",-0.71,-0.03,0.15,-1.2,2019,584,"Big Ten",0.148770004606568,129.132363998501,0.428571428571429,1.22674033892837,3.46913580246914,71,1.359,0.147466479290964,123.429443166537,0.426523297491039,1.19174739936208,0.186363636363636,3.41025641025641,71.4,-1.328,51,0.15,0.08,51,2.6,55,0.417,4.5,47,729.47,24,-23,-31
"6",761,"Nebraska",-0.49,0,-0.1,-4.7,2020,713,"Big Ten",0.191157708076337,106.092527982367,0.47027027027027,1.0762382413114,3.3,75.3,1.068,0.192055030909093,108.511092463638,0.421238938053097,1.27257487065727,0.229299363057325,3.75471698113208,67.9,-1.613,52,0.17,-0.21,82,9.4,32,0.375,4.9,44,731.1,24,-20,-8
