"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",48,"Appalachian State",0.12,-0.16,0.16,-1.8,2015,4,"Sun Belt",0.267052087589932,241.148035093709,0.46843853820598,1.28794331292615,4.2906976744186,68.6,1.556,0.00948132084765928,8.33408102509251,0.374288964732651,1.11143490274309,0.199561403508772,2.5,68.8,-1.497,48,0.43,0.21,49,7.9,49,0.846,5.4,57,312.88,120,63,71
"2",167,"Appalachian State",0.28,-0.01,0.06,2.1,2016,132,"Sun Belt",0.19099865552337,162.730854505912,0.455399061032864,1.1528485120564,3.58333333333333,69.5,1.467,0.0384102902725929,30.4593601861662,0.379571248423707,1.1188234759235,0.190201729106628,2.84210526315789,72.6,-1.217,50,0.46,0.16,51,9.2,43,0.769,4.6,54,333.36,119,65,76
"3",352,"Appalachian State",-0.24,-0.05,-0.01,4.1,2017,260,"Sun Belt",0.253654660967713,226.006302922233,0.438832772166106,1.34340793050114,3.72043010752688,64.2,1.824,0.106414021987281,90.2390906452141,0.387971698113208,1.22116309084286,0.217703349282297,3.11764705882353,64.9,-1.779,56,0.18,0.08,55,3.8,58,0.692,0.9,63,334.57,118,55,60
"4",412,"Appalachian State",0.29,0.02,0.21,2.5,2018,390,"Sun Belt",0.261832592146544,225.961527022468,0.443800695249131,1.34758092016316,4.13333333333333,68.9,1.516,-0.00767564656139304,-6.55500216342966,0.365339578454333,1.1045228290813,0.210407239819005,2.546875,71.2,-1.33,29,0.73,0.38,31,11.9,29,0.846,6.2,45,368.9,110,65,81
"5",550,"Appalachian State",0.26,-0.1,0.19,4.1,2019,520,"Sun Belt",0.273061155229651,265.688504038451,0.437821171634121,1.34744892664794,4.66292134831461,68.8,1.505,0.0915683481510546,87.0814990916529,0.365930599369085,1.39871046972269,0.205816554809843,3.31506849315068,73.6,-1.131,27,0.73,0.4,28,11.3,27,0.929,8.1,29,412.32,101,72,74
"6",727,"Appalachian State",-0.11,-0.21,0.22,2.9,2020,650,"Sun Belt",0.251307160866373,210.344093645154,0.469534050179211,1.23950140419489,3.92207792207792,69.5,1.455,0.0810936705904305,64.1450934370305,0.36409608091024,1.36617846748098,0.196642685851319,3.28070175438596,74.4,-1.087,21,0.89,0.43,22,12.3,24,0.75,6,39,455.28,93,54,69
