"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",94,"Iowa State",-0.29,-0.06,0,-3.2,2015,43,"Big 12",0.14054067197101,128.313633509532,0.430449069003286,1.16416855107939,3.32467532467532,70.9,1.337,0.236951487847228,210.175969720491,0.473506200676437,1.17087179750375,0.182432432432432,3.51898734177215,69.9,-1.452,80,-0.2,-0.14,83,-0.3,77,0.25,0.6,79,529.12,62,-17,-15
"2",141,"Iowa State",0.63,-0.06,0.22,2.7,2016,171,"Big 12",0.211630632616977,183.060497213685,0.452023121387283,1.19112874126976,3.75641025641026,71.4,1.31,0.242449645694359,223.05367403881,0.480434782608696,1.16131243047569,0.17029702970297,4.45945945945946,72,-1.261,67,-0.1,-0.08,70,0.7,66,0.25,1.1,66,552.17,56,-10,-10
"3",315,"Iowa State",0.05,-0.03,0.16,1.6,2017,300,"Big 12",0.188763857427254,173.662748833074,0.421739130434783,1.22630211051795,3.73809523809524,68.8,1.518,0.134283462211202,117.900879821435,0.399772209567198,1.27209418373539,0.236111111111111,2.8625,69.7,-1.454,29,0.71,0.53,21,7.5,44,0.615,10,26,565.53,56,30,12
"4",453,"Iowa State",0,-0.15,0.05,1,2018,430,"Big 12",0.193897456046371,162.292170710812,0.436081242532855,1.23636983240372,3.82666666666667,70.8,1.369,0.132833297784201,119.151468112428,0.418060200668896,1.20757020501244,0.214285714285714,3.37333333333333,70.8,-1.341,33,0.64,0.44,26,7.9,38,0.615,7.5,38,575.76,54,16,16
"5",608,"Iowa State",-0.24,-0.18,0.1,2.4,2019,560,"Big 12",0.228535364420722,207.738646258436,0.456545654565457,1.25154651715923,3.75268817204301,66.9,1.583,0.153330265887403,139.530541957537,0.426373626373626,1.14458008670484,0.221445221445221,3.61764705882353,72.6,-1.235,23,0.89,0.54,21,12.6,24,0.538,11,22,597.15,56,34,32
"6",720,"Iowa State",-0.07,-0.11,0.05,2.3,2020,689,"Big 12",0.263165547576993,217.111576751019,0.48,1.21653654816294,4.5125,69,1.447,0.109961432135534,82.8009583980568,0.391766268260292,1.29901576749567,0.244252873563218,2.73134328358209,71.7,-1.296,9,1.41,0.71,9,18.7,11,0.75,17.9,10,602.96,57,47,46
