"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"16",412,"Appalachian State",0.29,0.02,0.21,2.5,2018,390,"Sun Belt",0.261832592146544,225.961527022468,0.443800695249131,1.34758092016316,4.13333333333333,68.9,1.516,-0.00767564656139304,-6.55500216342966,0.365339578454333,1.1045228290813,0.210407239819005,2.546875,71.2,-1.33,29,0.73,0.38,31,11.9,29,0.846,6.2,45,368.9,110,65,81
"17",440,"Memphis",0.1,-0.08,0.11,2,2018,443,"American Athletic",0.311933005619536,322.538727810601,0.473887814313346,1.36988793904398,4.18811881188119,69.7,1.449,0.18054463556125,193.54384932166,0.399253731343284,1.39083172635917,0.19672131147541,4.01162790697674,71.7,-1.272,48,0.34,0.04,61,9.2,36,0.571,4.5,51,498,75,24,39
"18",443,"UCF",0.08,-0.24,0.2,-0.2,2018,497,"American Athletic",0.348808253346257,345.320170812795,0.477777777777778,1.35121942394639,4.88,71.5,1.318,0.117940221297261,122.30400948526,0.407907425265188,1.23573559756521,0.224137931034483,2.62222222222222,72.1,-1.238,17,1.13,0.63,19,16.5,18,0.923,11.5,25,572.51,56,31,38
"19",453,"Iowa State",0,-0.15,0.05,1,2018,430,"Big 12",0.193897456046371,162.292170710812,0.436081242532855,1.23636983240372,3.82666666666667,70.8,1.369,0.132833297784201,119.151468112428,0.418060200668896,1.20757020501244,0.214285714285714,3.37333333333333,70.8,-1.341,33,0.64,0.44,26,7.9,38,0.615,7.5,38,575.76,54,16,16
"20",497,"Wisconsin",-0.42,-0.11,0,0,2018,515,"Big Ten",0.268546239958681,234.709413723888,0.524027459954233,1.0582956053359,4.02380952380952,70,1.437,0.119342592442982,97.9802683956882,0.426309378806334,1.07288176262594,0.189252336448598,3.025,70.2,-1.381,25,0.84,0.35,34,15.5,19,0.615,11.8,24,653.5,36,12,17
"21",518,"Memphis",1.09,-0.19,0.18,0.8,2019,573,"American Athletic",0.32266702841229,323.957696525939,0.475099601593626,1.39359428238967,3.72641509433962,68.9,1.513,0.156102168101476,157.038781110085,0.398608349900596,1.25110000293721,0.203669724770642,3.65060240963855,72.3,-1.198,19,1.15,0.62,19,18,17,0.857,10.3,24,551.97,71,47,54
"22",550,"Appalachian State",0.26,-0.1,0.19,4.1,2019,520,"Sun Belt",0.273061155229651,265.688504038451,0.437821171634121,1.34744892664794,4.66292134831461,68.8,1.505,0.0915683481510546,87.0814990916529,0.365930599369085,1.39871046972269,0.205816554809843,3.31506849315068,73.6,-1.131,27,0.73,0.4,28,11.3,27,0.929,8.1,29,412.32,101,72,74
"23",570,"Wisconsin",0.11,-0.16,0.08,1.8,2019,645,"Big Ten",0.295454502912351,284.227231801682,0.495841995841996,1.14907622796801,4.07608695652174,69.2,1.486,0.0403433119750914,34.009411995002,0.355871886120996,1.33713793578365,0.239247311827957,3.01492537313433,72.1,-1.219,6,1.65,1.12,5,20.3,11,0.714,21.3,8,675.8,33,25,22
"24",605,"UCF",-0.21,-0.15,-0.02,-1.2,2019,627,"American Athletic",0.291946213872213,298.660976791273,0.456500488758553,1.38061692382195,4,71.3,1.331,0.0559343923908264,55.5428516440906,0.365558912386707,1.21618257407814,0.25098814229249,3.21333333333333,71.8,-1.271,20,1.11,0.51,25,19.1,14,0.769,12.6,21,598.57,54,33,40
"25",608,"Iowa State",-0.24,-0.18,0.1,2.4,2019,560,"Big 12",0.228535364420722,207.738646258436,0.456545654565457,1.25154651715923,3.75268817204301,66.9,1.583,0.153330265887403,139.530541957537,0.426373626373626,1.14458008670484,0.221445221445221,3.61764705882353,72.6,-1.235,23,0.89,0.54,21,12.6,24,0.538,11,22,597.15,56,34,32
"26",688,"Memphis",0.21,-0.1,0.15,-0.7,2020,702,"American Athletic",0.207838885234437,168.141658154659,0.42274412855377,1.41198488576253,3.72368421052632,72.2,1.278,0.219028942439292,180.917906454856,0.422518159806295,1.32236930707298,0.180156657963446,3.625,72.3,-1.226,68,-0.01,-0.2,81,4.8,49,0.727,0.6,69,584,64,-5,15
"27",704,"Wisconsin",0.07,-0.07,0.23,7.4,2020,772,"Big Ten",0.109475414008851,53.5334774503281,0.439672801635992,1.12017634245924,3.46666666666667,69.1,1.489,0.0386423826572,15.9593040374236,0.346246973365617,1.27742394100239,0.267379679144385,2.4,72.7,-1.251,18,0.99,0.37,26,16.3,15,0.571,18.1,9,712.56,27,18,12
"28",707,"UCF",0.04,-0.32,0.21,2.1,2020,754,"American Athletic",0.315100801876368,266.890379189283,0.475796930342385,1.29809956023784,4.42857142857143,70.7,1.388,0.230620975188789,179.423118696878,0.465295629820051,1.26713311668217,0.199507389162562,4.24,72.3,-1.204,28,0.69,0.28,34,10.9,29,0.6,12,22,593.42,60,38,31
"29",720,"Iowa State",-0.07,-0.11,0.05,2.3,2020,689,"Big 12",0.263165547576993,217.111576751019,0.48,1.21653654816294,4.5125,69,1.447,0.109961432135534,82.8009583980568,0.391766268260292,1.29901576749567,0.244252873563218,2.73134328358209,71.7,-1.296,9,1.41,0.71,9,18.7,11,0.75,17.9,10,602.96,57,47,46
"30",727,"Appalachian State",-0.11,-0.21,0.22,2.9,2020,650,"Sun Belt",0.251307160866373,210.344093645154,0.469534050179211,1.23950140419489,3.92207792207792,69.5,1.455,0.0810936705904305,64.1450934370305,0.36409608091024,1.36617846748098,0.196642685851319,3.28070175438596,74.4,-1.087,21,0.89,0.43,22,12.3,24,0.75,6,39,455.28,93,54,69
