"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",72,"UCF",-0.04,-0.19,0.23,-2.4,2015,109,"American Athletic",-0.0301812843569563,-23.8130333576385,0.359949302915082,1.08964811051238,2.32203389830508,70.9,1.33,0.274815662162995,237.715547770991,0.447398843930636,1.37021910954326,0.223382045929019,3.90526315789474,68.5,-1.517,123,-1.68,-1.1,126,-15.5,113,0,-19,125,484.54,73,-52,-40
"2",172,"UCF",0.18,-0.1,0.03,-4.8,2016,237,"American Athletic",0.073016719062033,65.8610805939537,0.373614190687361,1.24734985965074,3.1375,67.5,1.624,-0.0238369840463733,-22.3590910354981,0.356076759061834,1.21842604235275,0.216326530612245,2.47126436781609,66.2,-1.702,68,-0.15,-0.01,66,-2.2,76,0.462,-0.3,73,510.27,69,-4,-7
"3",266,"UCF",0.64,-0.04,0.16,5.8,2017,367,"American Athletic",0.353952175430091,328.467618799124,0.485991379310345,1.40864224493679,4.09259259259259,64.9,1.822,0.134120471098839,129.560375081479,0.385093167701863,1.42202781575264,0.2,3,70.7,-1.398,14,1.22,0.82,11,14.1,22,1,13.8,15,571.52,55,40,33
"4",443,"UCF",0.08,-0.24,0.2,-0.2,2018,497,"American Athletic",0.348808253346257,345.320170812795,0.477777777777778,1.35121942394639,4.88,71.5,1.318,0.117940221297261,122.30400948526,0.407907425265188,1.23573559756521,0.224137931034483,2.62222222222222,72.1,-1.238,17,1.13,0.63,19,16.5,18,0.923,11.5,25,572.51,56,31,38
"5",605,"UCF",-0.21,-0.15,-0.02,-1.2,2019,627,"American Athletic",0.291946213872213,298.660976791273,0.456500488758553,1.38061692382195,4,71.3,1.331,0.0559343923908264,55.5428516440906,0.365558912386707,1.21618257407814,0.25098814229249,3.21333333333333,71.8,-1.271,20,1.11,0.51,25,19.1,14,0.769,12.6,21,598.57,54,33,40
"6",707,"UCF",0.04,-0.32,0.21,2.1,2020,754,"American Athletic",0.315100801876368,266.890379189283,0.475796930342385,1.29809956023784,4.42857142857143,70.7,1.388,0.230620975188789,179.423118696878,0.465295629820051,1.26713311668217,0.199507389162562,4.24,72.3,-1.204,28,0.69,0.28,34,10.9,29,0.6,12,22,593.42,60,38,31
