"","V1","Team","STR","NFP","Year","offense.totalPPA","offense.successRate","offense.fieldPosition.averagePredictedPoints","defense.totalPPA","defense.successRate","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","predictedFPI","Diff","predictedSTR","STR_diff","predictedNFP","NFP_diff","predicted_offPPA","offPPA_diff","predictedOSR","OSR_diff","predictedPP","PP_diff","predicted_defPPA","defPPA_diff","predictedDSR","DSR_diff","predictedDPP","DPP_diff","STR_devs","NFP_devs","oPPA_devs","OSR_devs","PP_devs","dPPA_devs","DSR_devs","DPP_devs"
"1",9,"Wisconsin",0.61,4.7,2015,119.55613793626,0.437832093517535,1.784,18.9419569563494,0.331651954602774,-1.524,21,0.95,0.47,25,15.1,22,0.769,13.9,26,635.77,37,5.0879254462106,8.8120745537894,0.0465572072652983,0.563442792734702,0.360911897236473,4.33908810276353,166.671654574472,-47.1155166382121,0.436270741034113,0.00156135248342176,1.42184751058823,0.36215248941177,127.492316062537,-108.550359106188,0.418362414784463,-0.0867104601816892,-1.36624310520699,-0.157756894793014,1.30171724946724,1.17647324636501,-0.553381492377282,0.0374805153660965,2.18828957387567,-1.51211889200401,-2.09430523262119,-0.951522148151514
"2",189,"Wisconsin",-0.07,5.9,2016,156.085291877011,0.456827309236948,1.515,37.1196330766654,0.387990762124711,-1.18,12,1.32,0.79,8,16.1,16,0.786,17.8,12,643.76,37,5.47439429388929,12.3256057061107,0.0503435101107209,-0.120343510110721,0.402036915595231,5.49796308440477,167.654886321075,-11.5695944440637,0.436755339890277,0.0200719693466708,1.42242111665163,0.0925788833483725,126.671332443104,-89.5516993664383,0.417932870096853,-0.0299421079721424,-1.36411739037369,0.184117390373686,-0.278028621525595,1.49068337058773,-0.135887280804289,0.481830825206748,0.559403596869798,-1.24746539337184,-0.723187413264457,1.11051738835429
"3",264,"Wisconsin",0.39,1.1,2017,212.603947514859,0.459375,1.815,-32.1205958385249,0.339667458432304,-1.311,6,1.9,1.06,7,26.8,3,0.929,21.7,7,639.76,37,5.28091802471348,16.4190819752865,0.0484479892869799,0.34155201071302,0.381448671110246,0.718551328889754,167.162655158821,45.4412923560384,0.436512737208843,0.0228622627911566,1.42213395466745,0.392866045332552,127.082338009779,-159.202933848304,0.41814791124209,-0.0784804528097858,-1.3651815780249,0.0541815780249,0.789084800920866,0.194823519264432,0.533717381741335,0.548812264332379,2.37387480706642,-2.21771503951443,-1.89552705214132,0.32680011596409
"4",546,"Wisconsin",0.11,1.8,2019,284.227231801682,0.495841995841996,1.486,34.009411995002,0.355871886120996,-1.219,6,1.65,1.12,5,20.3,11,0.714,21.3,8,675.8,33,7.02413920998758,14.2758607900124,0.0655266319088856,0.0444733680911144,0.566948753919958,1.23305124608004,171.59765793073,112.629573870952,0.438698587368562,0.0571434084734345,1.4247212841449,0.0612787158550985,123.379177854036,-89.3697658590345,0.416210390523509,-0.0603385044025131,-1.35559324728746,0.136593247287461,0.102746456486077,0.334321813259863,1.32285765118779,1.37173663352809,0.370273790535053,-1.24493103884829,-1.45734719010758,0.823872073879788
"5",674,"Wisconsin",0.07,7.4,2020,53.5334774503281,0.439672801635992,1.489,15.9593040374236,0.346246973365617,-1.251,18,0.99,0.37,26,16.3,15,0.571,18.1,9,712.56,27,8.80218612371334,9.29781387628666,0.0829464682790648,-0.0129464682790648,0.756154720736967,6.64384527926303,176.121262311846,-122.587784861518,0.440928106010938,-0.00125530437494581,1.42736030277951,0.0616396972204933,119.602036696293,-103.642732658869,0.414234162398786,-0.0679871890331689,-1.3458133627728,0.0948133627728041,-0.0299101191742001,1.80137071175468,-1.43981889989238,-0.0301337817141545,0.372455003646524,-1.44375509544918,-1.64208476630181,0.571873671432346
