"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","id","name","position","conference.x","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush","V1","conference.y","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"14",12,"Duke",0.6,-0.1,0.19,6.7,2015,43,530478,"Thomas Sirk","QB","ACC",587,0.218,0.226,0.196,26,"ACC",0.134450774286694,140.904411452455,0.433206106870229,1.15311167300436,3.2967032967033,67.6,1.564,0.152209405355056,146.273238546208,0.401664932362123,1.27110799645257,0.18796992481203,3.42465753424658,73.1,-1.221,61,0.1,0.04,60,3.4,66,0.615,5.1,61,563.19,53,-8,-13
"15",13,"Florida International",0.6,0.04,-0.05,0.6,2015,32,3128843,"Alex McGough","QB","Conference USA",465,0.178,0.163,0.287,31,"Conference USA",0.118519627335524,91.0230737936824,0.407552083333333,1.21473767620873,3.7910447761194,71.8,1.313,0.161269387176472,129.33804851553,0.476309226932668,1.06810198355203,0.198598130841121,3.22857142857143,70.7,-1.329,112,-1.38,-0.73,109,-16.6,118,0.417,-10.6,102,360.11,104,2,-14
"16",14,"Texas",0.59,0.12,0.14,-0.8,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,"Big 12",0.160156521298512,126.043182261929,0.398983481575604,1.23208781667139,3.15714285714286,71.7,1.302,0.180420866724158,175.008240722433,0.47319587628866,1.12894597595934,0.149722735674677,3.82051282051282,70,-1.426,62,0.09,0.02,66,3.7,62,0.417,6.7,50,821.26,11,-39,-51
"17",15,"Memphis",0.55,-0.01,0.17,3.3,2015,111,534849,"Paxton Lynch","QB","American Athletic",529,0.404,0.4,0.427,56,"American Athletic",0.2514894723354,262.303519645822,0.466922339405561,1.21126073374786,4.18947368421053,67.2,1.634,0.158757337173337,152.72455836075,0.422037422037422,1.23666748572954,0.202755905511811,3.83333333333333,73.7,-1.12,42,0.58,0.36,37,8,47,0.692,7.7,46,381.8,96,50,49
"18",16,"Texas A&M",0.55,0.06,0.28,2.3,2015,68,559681,"Kyle Allen","QB","SEC",345,0.274,0.274,0.275,102,"SEC",0.128000290806296,129.280293714359,0.442574257425743,1.16165373329264,3.02083333333333,69.3,1.464,0.0986882846990283,91.7801047700964,0.40752688172043,1.11071465528066,0.23719165085389,2.5,71.2,-1.295,22,0.94,0.5,22,14.1,24,0.615,14.6,21,830.34,10,-11,-14
"19",17,"Notre Dame",0.53,-0.01,0.16,1.6,2015,102,3129302,"DeShone Kizer","QB","FBS Independents",465,0.376,0.371,0.389,75,"FBS Independents",0.301028879752684,262.798212024093,0.47651775486827,1.32483604569924,4.04878048780488,71.5,1.332,0.148247715334213,130.013246348105,0.413911060433295,1.2626717710731,0.210191082802548,3.56944444444444,72.6,-1.234,7,1.45,0.71,11,22.4,8,0.769,19.1,11,857.33,8,-3,0
"20",18,"East Carolina",0.51,-0.05,0.17,1.9,2015,70,3126168,"Blake Kemp","QB","American Athletic",411,0.276,0.285,0.144,27,"American Athletic",0.173046665641293,152.973252426903,0.441176470588235,1.21443793841424,3.4047619047619,69.8,1.433,0.162356055639911,145.79573796464,0.425389755011136,1.14578379670579,0.139344262295082,3.55405405405405,72.1,-1.245,75,-0.09,0,69,-0.5,80,0.417,-0.3,81,403.62,87,6,7
"21",19,"Utah",0.5,0.06,0.28,3.7,2015,38,531051,"Travis Wilson","QB","Pac-12",450,0.206,0.191,0.248,114,"Pac-12",0.139661927232127,130.723563889271,0.438034188034188,1.08770803974679,3.73170731707317,70.1,1.399,0.0649885594824925,60.439360318718,0.403225806451613,1.27334804381335,0.243037974683544,3.19753086419753,72.8,-1.207,30,0.8,0.48,24,11,35,0.769,13.4,27,574.41,50,23,15
"22",20,"Houston",0.48,-0.06,0.15,3.3,2015,118,545552,"Greg Ward Jr.","QB","American Athletic",538,0.438,0.376,0.57,39,"American Athletic",0.26079802879379,286.095437586788,0.443938012762078,1.32126493284774,4.24770642201835,68.5,1.507,0.123977266726212,121.249766858235,0.388548057259714,1.34307370988928,0.241379310344828,2.87951807228916,73.6,-1.14,33,0.71,0.58,18,6.2,53,0.929,10.9,34,511.45,65,31,12
"23",21,"Rutgers",0.45,0.17,0,-4.4,2015,51,547549,"Chris Laviano","QB","Big Ten",369,0.24,0.243,0.214,88,"Big Ten",0.183301123789211,148.84051251684,0.438423645320197,1.14298077986205,3.38666666666667,69.8,1.455,0.244504123124289,199.515364469419,0.458333333333333,1.35892188968094,0.237089201877934,3.7741935483871,66.6,-1.683,98,-0.79,-0.36,94,-10.1,101,0.333,-4.9,90,602.35,47,-43,-54
"24",22,"Alabama",0.45,0.06,0,4.4,2015,85,514124,"Jake Coker","QB","SEC",466,0.315,0.328,0.206,3,"SEC",0.190845668098963,208.212623895968,0.451879010082493,1.14666803380623,3.55769230769231,67.2,1.639,-0.0173132193749122,-16.2917394317924,0.315621679064825,1.35099577670161,0.246153846153846,2.22222222222222,72.3,-1.221,1,2.07,1.1,1,29,2,0.933,27.4,1,981.9,1,0,-1
"25",23,"Texas Tech",0.44,-0.12,0.05,-0.3,2015,95,3139477,"Patrick Mahomes","QB","Big 12",700,0.361,0.314,0.621,104,"Big 12",0.312559531067833,340.689888863937,0.488073394495413,1.31569553319054,4.0188679245283,69.3,1.462,0.360715230050282,370.093826031589,0.500974658869396,1.28799590775714,0.169312169312169,4.84158415841584,69.6,-1.414,58,0.24,0.15,55,4.5,60,0.538,8.8,42,641.07,35,-7,-25
"26",24,"Michigan",0.44,0.06,0.03,5.5,2015,100,518380,"Jake Rudock","QB","Big Ten",447,0.373,0.346,0.642,59,"Big Ten",0.181068167846144,166.763782586299,0.454940282301846,1.14405428755647,3.93023255813953,67.5,1.616,0.0105077992652201,8.76350458719353,0.334532374100719,1.26103330510783,0.219753086419753,2.5,73.7,-1.153,11,1.35,0.71,10,19.7,10,0.769,17.2,15,851.12,9,-6,-1
"27",25,"Western Kentucky",0.41,-0.09,0,3.1,2015,125,504866,"Brandon Doughty","QB","Conference USA",541,0.499,0.524,-0.392,124,"Conference USA",0.334803150008036,325.093858657803,0.509783728115345,1.24966037817118,4.43564356435644,68.9,1.52,0.188115164981938,176.075794423094,0.412393162393162,1.3633783792303,0.205128205128205,3.40909090909091,70.1,-1.427,28,0.84,0.53,21,10.8,37,0.857,12.2,31,353.5,106,75,69
"28",26,"Arkansas State",0.4,-0.05,0.16,8,2015,37,538156,"Fredi Knighten","QB","Sun Belt",392,0.202,0.211,0.184,8,"Sun Belt",0.175732905975159,171.163850419805,0.445585215605749,1.24159428799056,3.57575757575758,66.6,1.642,0.120705299179115,114.307918322622,0.382259767687434,1.41414516107541,0.246411483253589,3.79220779220779,73,-1.228,79,-0.19,-0.15,85,0.5,73,0.692,1.6,73,408.08,84,11,11
"29",27,"Western Michigan",0.39,-0.16,0.21,0.9,2015,112,532645,"Zach Terrell","QB","Mid-American",435,0.412,0.4,0.512,125,"Mid-American",0.317205728350662,276.603395121777,0.485091743119266,1.27222092624312,3.62068965517241,70.9,1.364,0.218917144648057,169.441869957596,0.418604651162791,1.40899230502689,0.248704663212435,3.82666666666667,71.4,-1.288,55,0.33,0.22,48,4.9,56,0.615,5.4,56,442.13,76,20,20
"30",28,"Florida Atlantic",0.33,-0.21,0.24,0.3,2015,18,550876,"Jaquez Johnson","QB","Conference USA",335,0.107,0.113,0.089,30,"Conference USA",0.0638396298384395,57.3918272247571,0.407119021134594,1.11675526508656,2.58139534883721,69.9,1.433,0.142742927358405,126.470233639546,0.426636568848758,1.23618322293071,0.153191489361702,3.07142857142857,71.3,-1.297,102,-1.02,-0.63,104,-9.8,100,0.25,-9.6,99,401.61,90,-9,-10
"31",29,"Nebraska",0.31,-0.06,0.17,-1.1,2015,77,533270,"Tommy Armstrong Jr.","QB","Big Ten",494,0.297,0.241,0.56,67,"Big Ten",0.205874048072244,199.286078533932,0.447314049586777,1.26761451138973,3.85858585858586,69.5,1.478,0.144906239392588,129.401271777581,0.394176931690929,1.36606653399392,0.235127478753541,3.66666666666667,69,-1.486,41,0.6,0.26,46,11.1,33,0.462,9.4,39,699.89,24,-15,-9
"32",30,"Wake Forest",0.3,-0.14,0.29,-1.4,2015,23,3124092,"John Wolford","QB","ACC",306,0.143,0.114,0.291,121,"ACC",0.0273797469437083,22.9989874327149,0.358333333333333,1.2456911100025,2.72727272727273,74,1.14,0.156904027130365,122.071333107424,0.402313624678663,1.21759594293389,0.181818181818182,3.05084745762712,72,-1.298,88,-0.42,-0.2,87,-4.5,88,0.25,-3.4,86,497.48,69,-17,-19
"33",31,"Syracuse",0.29,-0.1,0.14,2.2,2015,57,3916447,"Eric Dungey","QB","ACC",263,0.25,0.265,0.213,97,"ACC",0.0949853653492489,71.9039215693814,0.396301188903567,1.17421268895938,3.64615384615385,69.4,1.451,0.2068470480381,175.819990832385,0.475294117647059,1.1393705127986,0.22969837587007,3.54430379746835,71.9,-1.285,85,-0.33,-0.12,82,-3.9,86,0.333,0.1,80,508.8,66,-14,-20
"34",32,"Temple",0.28,0.05,0.09,4.7,2015,40,549759,"P.J. Walker","QB","American Athletic",512,0.21,0.244,-0.027,99,"American Athletic",0.121380164540477,117.981519933344,0.3940329218107,1.28981298959614,3.49,65.5,1.754,0.0531709671499417,50.6719316938944,0.356768100734523,1.22431880150436,0.239179954441913,2.56410256410256,69.1,-1.486,54,0.34,0.18,52,6,54,0.714,6.4,51,405.92,85,34,31
"35",33,"BYU",0.28,-0.09,0.01,-2.2,2015,44,545796,"Tanner Mangum","QB","FBS Independents",506,0.223,0.24,0.002,17,"FBS Independents",0.209829232187044,193.462552076455,0.438177874186551,1.29791338923565,4.2,70.8,1.348,0.0790628626798197,72.6587708027543,0.38411316648531,1.24068222738561,0.256410256410256,3.09756097560976,69.8,-1.414,43,0.57,0.33,39,8.7,44,0.692,9,40,521.43,63,23,19
"36",34,"Arizona",0.27,-0.04,0.18,0.4,2015,92,552097,"Anu Solomon","QB","Pac-12",393,0.35,0.335,0.456,5,"Pac-12",0.250248311812283,249.247318565034,0.457831325301205,1.32359096676061,4.01,71.8,1.271,0.237194449821367,245.733450014936,0.445945945945946,1.20865690503322,0.173285198555957,4.34883720930233,71.3,-1.32,69,0.07,-0.05,76,4.7,59,0.538,5.6,54,606.92,45,-9,-14
"37",35,"Ball State",0.25,-0.08,0.08,-0.1,2015,34,3915468,"Riley Neal","QB","Mid-American",475,0.188,0.162,0.319,11,"Mid-American",0.0942207810066369,85.5524691540264,0.408590308370044,1.05521934412799,3.2027027027027,69.8,1.423,0.32141024661509,297.947298612188,0.483279395900755,1.27319981900798,0.178498985801217,4.04444444444444,72,-1.293,107,-1.25,-0.63,105,-15.5,115,0.25,-11.8,104,349.94,107,3,-8
"38",36,"Mississippi State",0.23,0.06,-0.03,1.2,2015,94,512030,"Dak Prescott","QB","SEC",631,0.36,0.339,0.446,63,"SEC",0.266426986713351,248.309951616843,0.481759656652361,1.22813716452081,4.10989010989011,70.7,1.359,0.113938212244704,110.975818726342,0.441478439425051,1.08916568578286,0.225548902195609,2.91566265060241,71.4,-1.305,17,1.1,0.64,14,15.1,21,0.692,16.7,17,680.06,28,11,7
"39",37,"Auburn",0.22,-0.01,0.02,0,2015,91,550019,"Jeremy Johnson","QB","SEC",200,0.349,0.289,0.616,10,"SEC",0.181566594370074,169.220065952909,0.456008583690987,1.07928483481163,3.77027027027027,70.7,1.356,0.1522573297962,154.69344707294,0.461614173228346,1.08284808285303,0.164705882352941,3.01075268817204,71.4,-1.299,25,0.88,0.42,29,14.6,23,0.538,13,30,865.41,7,-23,-16
"40",38,"South Carolina",0.22,-0.08,0.23,3.5,2015,74,548144,"Perry Orth","QB","SEC",313,0.286,0.283,0.309,93,"SEC",0.135109688979207,106.871763982552,0.398230088495575,1.31082254793779,3.40625,70.2,1.376,0.245733710236367,211.576724513512,0.469221835075494,1.19399151620314,0.156378600823045,3.94520547945206,72.4,-1.212,63,0.09,0.03,61,3.4,67,0.25,4.3,64,725.72,22,-42,-45
"41",39,"Georgia Southern",0.21,0.02,0.01,6.6,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Sun Belt",0.25180323513217,217.306191919062,0.439165701042874,1.32360308378591,3.3921568627451,62.6,1.905,0.15610153421958,125.193430444103,0.415211970074813,1.2164781336895,0.190123456790123,3.46153846153846,74,-1.109,51,0.39,0.19,51,7.3,52,0.692,5.4,55,391.18,93,38,41
"42",40,"Colorado State",0.21,0.1,0.19,1.8,2015,83,546267,"Nick Stevens","QB","Mountain West",391,0.313,0.303,0.421,24,"Mountain West",0.189260151835042,176.579721662094,0.469453376205788,1.11225017460738,3.56521739130435,69.6,1.428,0.17772555897643,157.998021930047,0.422947131608549,1.26821227342452,0.229445506692161,3.33333333333333,74.1,-1.124,87,-0.35,-0.33,91,0.5,72,0.538,-5.9,93,389.1,94,1,22
"43",41,"Florida State",0.2,-0.18,0.22,0.9,2015,106,515409,"Everett Golson","QB","ACC",264,0.385,0.451,-0.147,32,"ACC",0.222063440085991,189.642177833436,0.454332552693208,1.25689792223558,3.71910112359551,67.1,1.608,0.0891046417649731,83.6692586173097,0.381256656017039,1.17391545538674,0.179824561403509,2.80281690140845,73.2,-1.164,8,1.42,0.64,15,23.2,5,0.769,18,13,889.92,4,-9,-1
"44",42,"Troy",0.19,-0.01,0.07,-1.7,2015,84,546145,"Brandon Silvers","QB","Sun Belt",369,0.314,0.338,0.038,106,"Sun Belt",0.116369383603631,94.2592007189414,0.417283950617284,1.14774401075314,2.92647058823529,69.7,1.427,0.165421637560399,148.879473804359,0.438888888888889,1.16349555278739,0.203422053231939,3.35,68.8,-1.481,94,-0.69,-0.39,96,-7,93,0.333,-7.9,96,335.43,112,16,19
"45",43,"Akron",0.19,-0.18,0.16,1.7,2015,48,550357,"Thomas Woodson","QB","Mid-American",415,0.233,0.258,0.169,2,"Mid-American",0.0973150370348363,85.5399175536211,0.394766780432309,1.21434303577756,3.4578313253012,67.6,1.562,0.0818986035246865,69.6957115995082,0.392479435957697,1.19346194017133,0.236111111111111,3.22368421052632,71,-1.351,84,-0.3,-0.22,88,-0.8,81,0.615,-6.5,94,412.65,81,-13,0
"46",44,"TCU",0.19,-0.17,0.14,2.4,2015,120,517127,"Trevone Boykin","QB","Big 12",515,0.459,0.49,0.344,98,"Big 12",0.280897186653665,307.301522199109,0.494515539305302,1.19394041149614,3.88349514563107,69.7,1.45,0.0918711104236716,92.881692638332,0.374876360039565,1.27100182227456,0.151515151515152,3.42857142857143,73.1,-1.208,16,1.12,0.49,23,19,15,0.846,20.5,10,630.38,39,29,24
"47",45,"Georgia Tech",0.16,0.03,0.03,-3.6,2015,29,531104,"Justin Thomas","QB","ACC",313,0.165,0.215,0.088,37,"ACC",0.225458622962144,172.250387943078,0.454188481675393,1.28068484330455,3.83561643835616,70.1,1.394,0.148192525017114,113.367281638092,0.449673202614379,1.13290158073017,0.192019950124688,3.68421052631579,67.2,-1.599,50,0.41,0.14,56,9,43,0.25,10.2,36,590.34,49,13,6
"48",46,"Northwestern",0.15,-0.1,0.14,-3.2,2015,35,3116144,"Clayton Thorson","QB","Big Ten",391,0.189,0.095,0.558,74,"Big Ten",0.0310362437656829,29.856866502587,0.35966735966736,1.16023055763019,2.66666666666667,72.6,1.226,-0.000135612624890446,-0.124628002274319,0.365614798694233,1.15996823016714,0.210280373831776,2.36585365853659,68.9,-1.494,65,0.08,0.15,54,0.2,75,0.769,4.8,62,595.75,48,-14,-27
"49",47,"Central Michigan",0.15,-0.12,0.14,-0.2,2015,90,531455,"Cooper Rush","QB","Mid-American",508,0.341,0.333,0.455,19,"Mid-American",0.168963132019831,143.449699084836,0.426383981154299,1.24390060101981,3.46341463414634,70.4,1.404,0.123896090531565,96.8867427956839,0.40153452685422,1.14310404893421,0.228070175438596,3.16417910447761,69.4,-1.453,83,-0.24,-0.06,78,-3.1,85,0.538,-1.9,85,376.81,101,16,16
"50",48,"Appalachian State",0.12,-0.16,0.16,-1.8,2015,124,548447,"Taylor Lamb","QB","Sun Belt",358,0.489,0.481,0.521,4,"Sun Belt",0.267052087589932,241.148035093709,0.46843853820598,1.28794331292615,4.2906976744186,68.6,1.556,0.00948132084765928,8.33408102509251,0.374288964732651,1.11143490274309,0.199561403508772,2.5,68.8,-1.497,48,0.43,0.21,49,7.9,49,0.846,5.4,57,312.88,120,63,71
"51",49,"Georgia",0.12,0.12,0.1,4.2,2015,88,530521,"Greyson Lambert","QB","SEC",283,0.338,0.371,-0.149,34,"SEC",0.17788058061082,147.107240165149,0.447400241837969,1.12696896731637,3.20779220779221,67,1.631,0.0085209468638426,7.16611631249163,0.342449464922711,1.23632164879558,0.204741379310345,2.21917808219178,69.9,-1.414,19,1.01,0.47,26,16.8,18,0.769,15.9,19,877.74,6,-13,-12
"52",50,"Northern Illinois",0.12,-0.11,-0.05,-1.5,2015,59,532480,"Drew Hare","QB","Mid-American",354,0.255,0.31,0.085,72,"Mid-American",0.158444162498034,165.891038135441,0.415472779369628,1.22488078217603,3.54347826086957,68.8,1.498,0.0836481779752725,96.4463492054892,0.426712922810061,1.04703228507223,0.14017094017094,2.92523364485981,66.9,-1.627,76,-0.14,-0.04,73,-0.9,82,0.571,-1.1,83,683.03,26,-57,-56
"53",51,"Arizona State",0.12,-0.07,0.1,3.2,2015,56,517393,"Mike Bercovici","QB","Pac-12",635,0.249,0.266,0.121,6,"Pac-12",0.170695379152694,186.057963276436,0.420183486238532,1.21407936697287,3.66315789473684,68.8,1.487,0.203536069479727,200.686564507011,0.399594320486815,1.48271588214492,0.245098039215686,3.54320987654321,73.2,-1.141,39,0.61,0.3,41,10.2,38,0.462,9.7,37,680.87,27,-10,-11
"54",52,"Texas State",0.1,-0.12,0.28,1.7,2015,26,548240,"Tyler Jones","QB","Sun Belt",469,0.161,0.13,0.256,103,"Sun Belt",0.144129863794063,118.330618174926,0.416565164433618,1.23492890107086,3.63235294117647,71.8,1.273,0.314827130289998,259.417555358958,0.475728155339806,1.31942929156636,0.156903765690377,4.14285714285714,70.5,-1.376,120,-1.56,-0.97,121,-15.5,114,0.25,-15.1,110,360.49,103,-7,-11
"55",53,"Oklahoma State",0.1,-0.03,0.15,4.1,2015,103,3116407,"Mason Rudolph","QB","Big 12",488,0.377,0.419,-0.136,79,"Big 12",0.248355133200417,246.119937001613,0.453077699293643,1.35332684595196,3.9375,68.1,1.551,0.153472416817569,154.853668568928,0.419226957383548,1.25262856901879,0.188212927756654,3.54545454545455,72.6,-1.241,36,0.66,0.37,34,9.9,39,0.769,14.2,24,651.83,33,9,-6
"56",54,"Indiana",0.08,-0.06,0.06,-0.1,2015,119,535825,"Nate Sudfeld","QB","Big Ten",444,0.441,0.439,0.462,41,"Big Ten",0.222770103337312,237.0273899509,0.454887218045113,1.22013867512034,3.70909090909091,70,1.437,0.235467208037624,245.356830775204,0.440499040307102,1.3514446957271,0.20353982300885,3.91954022988506,71.5,-1.279,72,0.02,0.08,58,0.4,74,0.462,1.7,72,559.08,54,-18,-20
"57",55,"Oregon",0.08,-0.03,-0.2,1.4,2015,121,511713,"Vernon Adams Jr.","QB","Pac-12",337,0.474,0.532,0.189,82,"Pac-12",0.290649412079631,292.102659140029,0.486567164179104,1.27410717314404,3.95412844036697,69.4,1.457,0.216768452885126,228.473949340923,0.459203036053131,1.23839055895773,0.184035476718404,3.94949494949495,71.2,-1.298,23,0.92,0.4,33,15.9,19,0.692,14.4,23,757.52,20,-3,1
"58",56,"Pittsburgh",0.08,-0.01,0.18,3.8,2015,71,532065,"Nathan Peterman","QB","ACC",396,0.277,0.285,0.235,85,"ACC",0.186969180196382,160.980464149085,0.45876887340302,1.14364676474481,3.59259259259259,69.2,1.451,0.180020439552185,153.017373619357,0.404705882352941,1.34104789309804,0.204379562043796,3.9041095890411,73.6,-1.139,40,0.6,0.26,45,11.1,34,0.615,8.4,45,611.18,42,-3,8
"59",57,"North Texas",0.08,0.04,0.08,0.2,2015,10,3914500,"DaMarcus Smith","QB","Conference USA",299,0.045,-0.061,0.342,73,"Conference USA",0.00319642897100777,2.66582176182048,0.390887290167866,1.11422779007761,1.78571428571429,71.3,1.329,0.314399432659787,280.75869336519,0.493840985442329,1.22493476618419,0.144897959183673,4.3956043956044,70.9,-1.362,128,-2.11,-1.17,128,-25,128,0.083,-21.4,127,380.69,97,-30,-31
"60",58,"Nevada",0.07,-0.23,0.1,-5.7,2015,76,536228,"Tyler Stewart","QB","Mountain West",423,0.289,0.258,0.425,68,"Mountain West",0.16997622669771,153.148580254636,0.431742508324084,1.14574179916885,3.175,73.7,1.131,0.188462402575609,175.270034395316,0.453763440860215,1.11960154719621,0.183505154639175,3.13186813186813,68.1,-1.536,95,-0.69,-0.39,95,-7.1,94,0.538,-8.1,98,380.53,99,1,5
