"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","id","name","position","conference.x","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush","V1","conference.y","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"195",193,"North Texas",-0.03,-0.12,0.2,-2.3,2016,135,4039073,"Mason Fine","QB","Conference USA",349,0.098,0.061,0.277,201,"Conference USA",0.0994229820411677,85.8020335015277,0.398609501738123,1.23831248376822,3.23529411764706,71.1,1.322,0.1432992325521,135.274475529182,0.418432203389831,1.24794411325273,0.161290322580645,3.22093023255814,69.3,-1.455,114,-1.29,-0.7,114,-14.6,116,0.385,-14.8,117,351.58,113,-4,-3
"196",194,"Ole Miss",-0.04,-0.15,0.1,1,2016,240,534580,"Chad Kelly","QB","SEC",408,0.411,0.396,0.487,209,"SEC",0.188899758538214,174.921176406386,0.454643628509719,1.18940414080404,3.64516129032258,69.6,1.45,0.247847093552569,226.036549319943,0.446271929824561,1.31190322208224,0.173996175908222,3.82758620689655,70.3,-1.38,28,0.77,0.36,32,12.4,25,0.417,11.1,29,808.15,15,-14,-10
"197",195,"Oklahoma State",-0.06,-0.23,0.26,7,2016,237,3116407,"Mason Rudolph","QB","Big 12",525,0.403,0.406,0.379,207,"Big 12",0.275324080924435,266.789034415777,0.473684210526316,1.28617965602661,4.12037037037037,69.2,1.471,0.18063684815947,177.746658588918,0.438008130081301,1.21007564419073,0.233009708737864,3.525,72.8,-1.231,19,0.99,0.42,23,16.4,13,0.769,17.1,15,631.68,39,24,26
"198",196,"Old Dominion",-0.06,-0.17,-0.04,3.2,2016,197,535113,"David Washington","QB","Conference USA",376,0.282,0.291,0.222,208,"Conference USA",0.223422989512387,181.866313463083,0.438574938574939,1.32032155411312,3.97619047619048,67.2,1.609,0.181328311791127,151.409140345591,0.44311377245509,1.21463542936214,0.15035799522673,3.97333333333333,69.9,-1.449,69,-0.19,-0.12,72,-0.7,69,0.769,-4.6,85,347.2,115,30,46
"199",197,"Wisconsin",-0.07,-0.13,0,5.9,2016,184,3886609,"Alex Hornibrook","QB","Big Ten",204,0.249,0.291,-0.561,255,"Big Ten",0.156712140438766,156.085291877011,0.456827309236948,1.08413744068691,3.76595744680851,68.7,1.515,0.0428633176404912,37.1196330766654,0.387990762124711,1.09840344496249,0.213541666666667,2.40845070422535,73.3,-1.18,12,1.32,0.79,8,16.1,16,0.786,17.8,12,643.76,37,25,21
"200",198,"Colorado State",-0.07,-0.09,0.19,2.6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,"Mountain West",0.266966342337216,224.785660247936,0.463182897862233,1.27053059232667,4.22222222222222,68.2,1.536,0.234264862164744,192.09718697509,0.430487804878049,1.32272602968346,0.194154488517745,4.12676056338028,71.5,-1.306,64,0.02,0.05,61,0.8,64,0.538,-0.8,74,412.28,90,16,26
"201",199,"Florida International",-0.08,0.05,0.01,-3.6,2016,138,3128843,"Alex McGough","QB","Conference USA",328,0.113,0.11,0.143,159,"Conference USA",0.102301813871861,85.7289200246195,0.417661097852029,1.20610726708765,3.84931506849315,70.9,1.334,0.247757398824818,204.6476114293,0.484261501210654,1.1776118498058,0.142201834862385,3.52222222222222,65.2,-1.748,123,-1.6,-0.85,120,-19,125,0.333,-16.6,122,362.84,110,-12,-15
"202",200,"Northwestern",-0.08,-0.09,0.03,-3.4,2016,172,3116144,"Clayton Thorson","QB","Big Ten",574,0.226,0.213,0.336,202,"Big Ten",0.120743255739824,119.415079926685,0.401415571284125,1.26603466488803,3.27710843373494,71.4,1.338,0.101087159197205,99.0654160132611,0.420408163265306,1.12968753497545,0.217977528089888,2.7752808988764,69.8,-1.429,54,0.39,0.36,31,2.9,61,0.538,8,42,613.55,45,3,-16
"203",201,"Marshall",-0.08,0.09,0.02,2.7,2016,133,3931782,"Chase Litton","QB","Conference USA",344,0.09,0.086,0.287,182,"Conference USA",0.0733061740907528,50.6545662967102,0.383502170767004,1.25592656020414,3.42372881355932,65.7,1.734,0.30424277625498,222.705712218646,0.469945355191257,1.31887403883068,0.183246073298429,4.38157894736842,69.1,-1.496,118,-1.4,-0.9,124,-12.7,110,0.25,-12.8,115,485.46,73,-42,-37
"204",202,"Connecticut",-0.08,-0.08,0.04,-4.3,2016,139,549956,"Bryant Shirreffs","QB","American Athletic",425,0.13,0.186,-0.006,153,"American Athletic",0.0387111960045749,31.1625127836828,0.377639751552795,1.14475994859571,2.53703703703704,72.5,1.275,0.194364014541768,168.902328636796,0.445339470655926,1.17912880803206,0.196759259259259,3.46913580246914,69.5,-1.45,111,-1.18,-0.72,115,-11.6,107,0.25,-12.2,112,423.56,87,-25,-20
"205",203,"Texas Tech",-0.09,-0.24,-0.01,-6.5,2016,243,3139477,"Patrick Mahomes","QB","Big 12",718,0.423,0.423,0.422,232,"Big 12",0.312098509566546,328.01553355444,0.478591817316841,1.3374174186969,4.72826086956522,72.7,1.203,0.315430378743766,299.02799904909,0.496835443037975,1.26800155602002,0.174273858921162,4.2,69.7,-1.409,61,0.07,-0.03,67,3.7,59,0.417,4.7,53,604.93,46,-7,-13
"206",204,"UTEP",-0.12,-0.03,0.05,-3.1,2016,149,3124698,"Ryan Metz","QB","Conference USA",206,0.173,0.127,0.621,244,"Conference USA",0.13448703368636,90.5097736709206,0.398216939078752,1.29930004310018,2.98,72.1,1.256,0.242809259244136,179.193233322172,0.48780487804878,1.12041602041064,0.137931034482759,3.97333333333333,69.4,-1.459,124,-1.61,-0.98,126,-16.1,120,0.333,-17.6,124,290.4,124,0,4
"207",205,"South Carolina",-0.13,-0.24,0.11,-0.3,2016,150,4038809,"Jake Bentley","QB","SEC",240,0.173,0.17,0.194,221,"SEC",0.11513382536182,101.893435445211,0.406779661016949,1.17901584256385,3.36486486486486,70.4,1.388,0.168343743383561,159.926556214383,0.456842105263158,1.16060772734679,0.194285714285714,3.34883720930233,69,-1.502,79,-0.37,-0.16,78,-4,85,0.462,-0.3,72,706.9,23,-49,-62
"208",206,"Arkansas State",-0.15,-0.06,0.08,1.8,2016,214,3116379,"Justice Hansen","QB","Sun Belt",415,0.318,0.357,0.093,136,"Sun Belt",0.11446655451911,105.652629821139,0.390032502708559,1.2632416688104,3.04444444444444,70.7,1.367,0.039792828733628,38.2409084130165,0.356919875130073,1.21393185301356,0.233820459290188,2.98666666666667,72.4,-1.285,71,-0.21,-0.12,73,-1.2,72,0.615,-2.6,80,471.45,76,-4,4
"209",207,"Nevada",-0.15,-0.04,0.09,-1.5,2016,199,536228,"Tyler Stewart","QB","Mountain West",217,0.286,0.265,0.392,196,"Mountain West",0.194765060010052,146.852855247579,0.450928381962865,1.11402686367255,3.17647058823529,72.2,1.215,0.244970706950258,185.932766575246,0.480895915678524,1.20207635528872,0.164383561643836,3.72307692307692,70.7,-1.338,110,-1.17,-0.64,110,-13,111,0.417,-8.9,100,389.56,101,1,-10
"210",209,"Baylor",-0.17,-0.11,0.21,-1.9,2016,194,4035409,"Zach Smith","QB","Big 12",218,0.272,0.285,0.052,140,"Big 12",0.238350393378445,264.568936650074,0.459459459459459,1.2129132869309,3.81443298969072,70.8,1.356,0.136355258913765,141.673114011401,0.415784408084697,1.19871214701435,0.182444061962134,3.46236559139785,71.5,-1.337,46,0.52,0.13,52,11.3,32,0.538,8.9,39,619.18,40,1,8
"211",209,"Baylor",-0.17,-0.11,0.21,-1.9,2016,229,535511,"Seth Russell","QB","Big 12",371,0.364,0.289,0.622,140,"Big 12",0.238350393378445,264.568936650074,0.459459459459459,1.2129132869309,3.81443298969072,70.8,1.356,0.136355258913765,141.673114011401,0.415784408084697,1.19871214701435,0.182444061962134,3.46236559139785,71.5,-1.337,46,0.52,0.13,52,11.3,32,0.538,8.9,39,619.18,40,1,8
"212",210,"California",-0.17,-0.12,0,0.5,2016,188,550386,"Davis Webb","QB","Pac-12",651,0.259,0.257,0.329,146,"Pac-12",0.215308882788984,227.150871342378,0.467298578199052,1.17422893009222,4.13333333333333,71.1,1.344,0.312138734562697,291.537578081559,0.505353319057816,1.19540584352562,0.12890625,4.50574712643678,71.2,-1.331,63,0.05,0.01,65,2.4,62,0.417,4.4,58,601.17,47,-11,-15
"213",211,"Rice",-0.17,-0.17,0.08,-0.9,2016,151,536503,"Tyler Stehling","QB","Conference USA",413,0.174,0.141,0.315,215,"Conference USA",0.104794736263793,93.7912889560947,0.411173184357542,1.14331274914299,3.54054054054054,70.6,1.381,0.332696101201004,271.48001858002,0.449754901960784,1.4478726547286,0.176991150442478,3.68354430379747,69.3,-1.472,122,-1.53,-0.88,122,-16.5,121,0.25,-16.1,121,394.83,97,-24,-24
"214",212,"Louisville",-0.18,-0.04,0.18,1,2016,235,3916387,"Lamar Jackson","QB","ACC",660,0.398,0.311,0.583,180,"ACC",0.351031729766501,338.394587494907,0.494813278008299,1.32237631815763,4.35576923076923,67.8,1.542,0.0477658548207892,42.7982059194271,0.34375,1.3187581756488,0.261160714285714,3.28205128205128,68.2,-1.527,10,1.52,0.72,10,22.9,9,0.692,21.6,9,654.13,32,23,23
"215",213,"Vanderbilt",-0.2,-0.18,0.13,-4.9,2016,142,3915776,"Kyle Shurmur","QB","SEC",423,0.15,0.161,-0.057,246,"SEC",0.113317102533224,102.325343587501,0.416389811738649,1.13516758782687,3.58666666666667,71.2,1.337,0.164875796941759,149.377472029233,0.43046357615894,1.21126543697286,0.218604651162791,2.58947368421053,65.1,-1.767,65,-0.02,0.09,56,-1.2,71,0.462,4.5,55,619.03,41,-14,-30
"216",214,"Tulsa",-0.2,-0.26,0.25,-1.4,2016,228,532273,"Dane Evans","QB","American Athletic",473,0.363,0.341,0.757,236,"American Athletic",0.23170189197396,261.591436038601,0.467670504871568,1.18121923291463,4.15533980582524,70,1.427,0.112847269322167,115.442756516577,0.376344086021505,1.33955272432029,0.1875,3.125,68.2,-1.526,49,0.47,0.25,43,7.4,50,0.769,7,49,409.17,91,42,41
"217",215,"Virginia",-0.21,0.01,0.17,1.3,2016,136,545645,"Kurt Benkert","QB","ACC",463,0.099,0.089,0.247,247,"ACC",0.0616461577160659,53.4472187398291,0.409457900807382,1.17253285591453,3.20588235294118,68.8,1.492,0.249102818348642,213.730218143135,0.446386946386946,1.29714681652563,0.188311688311688,3.45238095238095,71,-1.358,84,-0.46,-0.28,86,-3.8,83,0.167,-4.2,84,618.91,42,-42,-41
"218",216,"Kansas",-0.22,-0.35,0,-10.1,2016,131,545417,"Montell Cozart","QB","Big 12",218,0.031,0.005,0.237,172,"Big 12",0.0240819413066857,21.0235347607366,0.361970217640321,1.19205491895886,2.75,70.8,1.373,0.190434195772617,174.437723327717,0.454148471615721,1.22477059999813,0.204238921001927,3.76470588235294,65,-1.766,113,-1.24,-0.59,106,-15.9,119,0.167,-9.8,104,491,72,-32,-47
"219",217,"Miami (OH)",-0.23,-0.08,0,-3.4,2016,231,3125968,"Gus Ragland","QB","Mid-American",260,0.367,0.395,0.288,186,"Mid-American",0.177322426018773,150.192094837901,0.430932703659976,1.22413699393042,3.01315789473684,71.3,1.328,0.0960515632942205,84.9095819520909,0.428733031674208,1.1038856068901,0.18018018018018,3.025,68.8,-1.484,90,-0.58,-0.31,89,-6.1,92,0.462,-8.2,97,418.04,89,-8,-3
"220",218,"Michigan State",-0.23,-0.16,0.17,-2.8,2016,227,535578,"Tyler O'Connor","QB","Big Ten",324,0.357,0.361,0.332,188,"Big Ten",0.173453701136569,147.262192264947,0.419316843345112,1.192683233902,3.06756756756757,72,1.296,0.149155045240498,119.473191237639,0.419475655430712,1.20487061782934,0.223713646532438,3.76,70.6,-1.395,55,0.31,0.08,58,7.4,51,0.25,3.9,60,719.7,22,-38,-29
"221",219,"South Alabama",-0.27,-0.13,0.13,0.5,2016,186,3125259,"Dallas Davis","QB","Sun Belt",436,0.252,0.224,0.393,220,"Sun Belt",0.137720889631817,121.607545544895,0.423556058890147,1.25143454862785,3.23611111111111,70.1,1.424,0.160582060681179,145.64792903783,0.438809261300992,1.1822452884209,0.196043165467626,3.04651162790698,71.1,-1.335,102,-0.87,-0.47,99,-9.4,101,0.462,-12.5,114,389.36,102,-12,1
"222",220,"NC State",-0.27,-0.07,-0.04,-2.4,2016,198,546288,"Ryan Finley","QB","ACC",471,0.283,0.327,-0.041,194,"ACC",0.171029227223168,160.767473589778,0.429787234042553,1.24274928984081,2.89887640449438,68.7,1.493,0.105829743431968,94.8234501150434,0.379464285714286,1.2747017361357,0.231770833333333,2.85882352941176,67.1,-1.575,40,0.58,0.28,40,9.4,41,0.538,8.9,37,616.29,44,7,3
"223",221,"Charlotte",-0.29,-0.02,-0.01,-4.2,2016,173,3139889,"Hasaan Klugh","QB","Conference USA",303,0.227,0.106,0.621,148,"Conference USA",0.101248547318754,82.7200631594216,0.378212974296206,1.27303749775288,3.7741935483871,71.3,1.309,0.190005415100133,159.414543269011,0.448152562574493,1.19477276565614,0.190201729106628,3.7906976744186,69.1,-1.494,125,-1.7,-0.87,121,-20.9,126,0.333,-17.9,125,330.55,120,-5,-6
"224",223,"Toledo",-0.32,-0.05,0.14,0.5,2016,252,545910,"Logan Woodside","QB","Mid-American",418,0.532,0.585,-0.417,233,"Mid-American",0.346195816707231,301.536556351998,0.48564867967853,1.30295067537018,4.08139534883721,71.3,1.374,0.159619855719433,132.16524053569,0.390096618357488,1.3288394002373,0.217183770883055,3.39130434782609,69.1,-1.457,38,0.6,0.18,49,12.3,26,0.692,4.5,56,460.86,77,21,51
"225",224,"Wyoming",-0.33,-0.12,0.19,0.8,2016,239,3918298,"Josh Allen","QB","Mountain West",481,0.411,0.34,0.683,256,"Mountain West",0.214408791992596,201.544264473041,0.429787234042553,1.31093492473786,4.3375,69.1,1.485,0.220811697163243,195.639163686634,0.417607223476298,1.41774929518243,0.187633262260128,3.70114942528736,70.8,-1.363,83,-0.42,-0.1,71,-6.9,95,0.571,-1.9,76,316.18,123,47,28
"226",225,"Indiana",-0.34,-0.06,0.02,1.5,2016,189,546687,"Richard Lagow","QB","Big Ten",479,0.264,0.273,-0.041,169,"Big Ten",0.112017557425042,112.465627654742,0.411354581673307,1.26169353097237,2.71717171717172,65.5,1.725,0.0962239323479148,95.4541408891315,0.382056451612903,1.24657227370898,0.215799614643545,3.29885057471264,70.2,-1.408,59,0.16,0.03,62,4.6,57,0.462,0.9,67,565.47,53,-14,-4
"227",226,"West Virginia",-0.34,-0.18,0.11,0.3,2016,211,3116460,"Skyler Howard","QB","Big 12",542,0.311,0.296,0.363,254,"Big 12",0.230146197521893,227.614589349152,0.44994944388271,1.24876094064282,3.49,70.5,1.4,0.129420788863539,130.197313596721,0.424453280318091,1.12889398490413,0.173469387755102,2.98823529411765,70.7,-1.368,29,0.77,0.4,26,11.3,33,0.769,13.5,24,654.64,31,7,-2
"228",227,"Purdue",-0.36,-0.11,0.19,-2.7,2016,146,3116188,"David Blough","QB","Big Ten",598,0.156,0.126,0.475,214,"Big Ten",0.0933316021230385,86.1450687595645,0.407367280606717,1.27545434222636,2.92753623188406,71.4,1.296,0.257419505723177,223.697550473441,0.456846950517837,1.27039488706547,0.209615384615385,4.38888888888889,68.1,-1.564,106,-1,-0.54,104,-11,105,0.25,-8.8,99,512.72,68,-31,-37
"229",228,"Central Michigan",-0.39,-0.12,0.05,-2,2016,177,531455,"Cooper Rush","QB","Mid-American",524,0.235,0.236,0.234,147,"Mid-American",0.159546572097886,139.443704013552,0.410755148741419,1.31152432886335,3.19718309859155,70.2,1.404,0.15107351599812,135.05972330232,0.431767337807606,1.20836506818892,0.201773835920177,3.875,68,-1.582,97,-0.79,-0.53,102,-6.1,91,0.462,-5.7,91,391.81,99,8,8
"230",229,"Georgia",-0.4,-0.13,-0.03,-0.4,2016,170,4035003,"Jacob Eason","QB","SEC",398,0.213,0.198,0.663,162,"SEC",0.124101357869262,115.041958744806,0.427184466019417,1.13869311242345,2.7093023255814,69.5,1.45,0.132423350165517,106.865643583573,0.408921933085502,1.20027101133045,0.173120728929385,3.78571428571429,71.3,-1.336,47,0.48,0.17,50,9.3,42,0.615,8.1,41,872,6,-35,-36
"231",230,"Boise State",-0.4,-0.19,0.12,-2.1,2016,246,3722362,"Brett Rypien","QB","Mountain West",433,0.473,0.472,0.483,141,"Mountain West",0.290974734201219,261.586286046896,0.479421579532814,1.29760771664912,4.35294117647059,73.8,1.187,0.119671778099945,118.355388540846,0.418604651162791,1.13189333761283,0.172619047619048,2.8625,71.8,-1.269,30,0.74,0.36,29,11.5,30,0.769,9.5,35,548.82,57,22,27
"232",231,"Syracuse",-0.41,0.12,0.09,-0.5,2016,193,3916447,"Eric Dungey","QB","ACC",476,0.27,0.291,0.193,225,"ACC",0.128785115191782,124.535206390453,0.391933815925543,1.29460645532262,2.30487804878049,67.3,1.616,0.2567107596193,223.85178238803,0.455275229357798,1.34941980470051,0.19661733615222,3.74025974025974,69.4,-1.484,82,-0.4,-0.26,80,-2.7,79,0.333,-2.7,81,520.26,66,-15,-13
"233",233,"Colorado",-0.44,-0.13,-0.13,-3.7,2016,178,550278,"Sefo Liufau","QB","Pac-12",435,0.237,0.251,0.202,151,"Pac-12",0.161502258041703,170.223379975955,0.437381404174573,1.12924638306827,3.48314606741573,71.2,1.331,0.0516826417784494,48.1165394957363,0.383458646616541,1.14942221118473,0.125581395348837,2.73809523809524,66.9,-1.611,32,0.71,0.55,16,6.3,53,0.714,14.2,19,526.39,62,43,9
"234",234,"Tulane",-0.46,-0.19,0.12,0,2016,128,3126243,"Glen Cuiellette","QB","American Athletic",353,-0.117,-0.101,-0.155,235,"American Athletic",0.0462540892012002,39.4547380886238,0.378663540445487,1.17729974627839,3.16,66.2,1.648,0.121771418701696,99.3654776605837,0.400735294117647,1.28094010133808,0.242562929061785,3.37142857142857,68.9,-1.526,105,-0.99,-0.38,93,-14.6,115,0.333,-7.4,95,388.04,103,8,-12
"235",235,"Utah State",-0.46,0.01,-0.07,-0.6,2016,167,3125353,"Kent Myers","QB","Mountain West",476,0.205,0.155,0.412,243,"Mountain West",0.147600350090336,118.52308112254,0.393524283935243,1.38390133125772,3.31944444444444,71.6,1.293,0.157391888691431,139.606605269299,0.43630214205186,1.07076747740143,0.192164179104478,3.66233766233766,69.6,-1.451,89,-0.58,-0.38,92,-4.4,86,0.25,-5.3,88,357.13,111,23,25
"236",236,"Oregon State",-0.46,-0.09,0.12,-1.8,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,"Pac-12",0.117509730023067,95.7704299687998,0.408588957055215,1.18182474958718,3.375,69.7,1.456,0.145954068772716,133.985835133353,0.449891067538126,1.12565877801958,0.150627615062762,3.02247191011236,67.3,-1.601,74,-0.23,0.01,64,-4.6,88,0.333,0,71,524.89,63,-8,-25
"237",237,"Cincinnati",-0.47,-0.12,0.01,-1.3,2016,153,3125813,"Hayden Moore","QB","American Athletic",309,0.18,0.195,0.066,149,"American Athletic",0.0652301124087609,56.0326665591256,0.39930151338766,1.17471934972206,2.77464788732394,69.5,1.483,0.137295446120206,131.940923721518,0.441207075962539,1.0931726183363,0.194444444444444,3.01123595505618,69.1,-1.523,91,-0.59,-0.42,96,-3.6,82,0.333,-5.5,89,541.58,58,-31,-24
"238",238,"Florida State",-0.48,-0.27,-0.13,-1.7,2016,233,3921561,"Deondre Francois","QB","ACC",499,0.381,0.349,0.564,160,"ACC",0.269954409979303,256.186735070358,0.481559536354057,1.24626669217184,4.14141414141414,69.8,1.452,0.111051520389182,96.2816681774209,0.381776239907728,1.31105058729245,0.208436724565757,3.20481927710843,68.3,-1.494,9,1.54,0.69,12,24,7,0.769,22.2,8,906.64,4,-4,-3
"239",239,"Southern Mississippi",-0.53,-0.24,0.16,-7.7,2016,236,552880,"Nick Mullens","QB","Conference USA",432,0.401,0.396,0.457,222,"Conference USA",0.22172394890018,227.710495520485,0.433300876338851,1.3195265133547,3.76086956521739,72.3,1.286,0.115408218585993,86.0945310651511,0.353887399463807,1.45585545951267,0.249363867684478,3.62162162162162,66.4,-1.662,78,-0.36,-0.36,91,0.7,65,0.538,-5.5,89,441.29,83,-6,18
"240",240,"Army",-0.55,0.06,-0.06,-2.8,2016,158,3129089,"Ahmad Bradshaw","QB","FBS Independents",250,0.186,-0.02,0.298,137,"FBS Independents",0.261763573119693,224.593145736697,0.487179487179487,1.13399537572023,3.89024390243902,68.9,1.507,0.111234844912362,76.6408081446178,0.415094339622642,1.16779066435403,0.21301775147929,3.20634920634921,68.5,-1.501,93,-0.71,-0.28,85,-9.9,102,0.615,-2,77,131.74,132,55,30
"241",241,"Kent State",-0.58,-0.23,0.07,-2.3,2016,155,550339,"Nick Holley","QB","Mid-American",347,0.181,0.09,0.27,174,"Mid-American",0.0815769016880028,52.2907939820098,0.379095163806552,1.22496888347017,2.4,69.6,1.438,0.193572182026498,144.985564337847,0.437917222963952,1.17625626340624,0.174940898345154,3.484375,69.4,-1.475,108,-1.03,-0.54,103,-12,108,0.25,-11.9,109,334.01,118,9,10
"242",242,"Duke",-0.58,-0.11,-0.04,-0.3,2016,183,3917792,"Daniel Jones","QB","ACC",533,0.246,0.204,0.439,154,"ACC",0.150156032202614,127.032003243412,0.439716312056738,1.16241302345973,3.06578947368421,69.6,1.443,0.208448931211462,155.086004821328,0.422043010752688,1.34312026054221,0.228643216080402,3.68333333333333,70.6,-1.369,75,-0.29,-0.13,75,-2.8,80,0.333,1.6,65,599.82,48,-17,-32
"243",243,"Middle Tennessee",-0.63,-0.26,0.07,-5.8,2016,238,545683,"Brent Stockstill","QB","Conference USA",407,0.406,0.391,0.582,189,"Conference USA",0.318851252862524,290.792342610622,0.462719298245614,1.36577550376555,4.02020202020202,69.8,1.408,0.166767827357874,167.601666494664,0.451741293532338,1.15094004208806,0.141491395793499,4.48936170212766,65.5,-1.735,87,-0.54,-0.44,97,-1.9,74,0.615,-5,86,436.6,85,-1,11
"244",244,"LSU",-0.64,-0.31,0.21,-0.8,2016,222,550170,"Danny Etling","QB","SEC",307,0.346,0.332,0.516,181,"SEC",0.265252474020413,201.061375307473,0.455145118733509,1.30214134727006,3.52112676056338,71.5,1.322,0.0168611461721147,13.6912506917571,0.360837438423645,1.10804829152404,0.171794871794872,2.0958904109589,72.6,-1.275,6,1.81,0.92,6,25.3,5,0.667,22.9,6,917.72,3,-3,-2
"245",245,"UCLA",-0.69,-0.08,-0.05,-2.9,2016,159,531259,"Mike Fafaul","QB","Pac-12",280,0.187,0.184,0.234,238,"Pac-12",0.141042570475451,118.898886910805,0.385527876631079,1.32625069775766,3.36111111111111,70.6,1.373,0.0740878686673087,70.9761781832817,0.41231732776618,1.03536243554549,0.163865546218487,3.35443037974684,67.7,-1.579,52,0.41,0.11,55,9.1,44,0.333,7.9,43,819.16,12,-31,-32
"246",245,"UCLA",-0.69,-0.08,-0.05,-2.9,2016,230,3886377,"Josh Rosen","QB","Pac-12",250,0.365,0.367,0.314,238,"Pac-12",0.141042570475451,118.898886910805,0.385527876631079,1.32625069775766,3.36111111111111,70.6,1.373,0.0740878686673087,70.9761781832817,0.41231732776618,1.03536243554549,0.163865546218487,3.35443037974684,67.7,-1.579,52,0.41,0.11,55,9.1,44,0.333,7.9,43,819.16,12,-31,-32
"247",246,"New Mexico State",-0.69,-0.08,-0.18,-2.1,2016,144,3124981,"Tyler Rogers","QB","FBS Independents",488,0.154,0.078,0.495,198,"FBS Independents",0.112624776487219,96.8573077790084,0.41046511627907,1.24793334605205,3.17333333333333,71.2,1.304,0.22745064759183,189.238938796402,0.450721153846154,1.26153140603082,0.190965092402464,3.86842105263158,69.4,-1.467,120,-1.51,-0.83,118,-17.2,123,0.25,-17.6,123,267.66,125,2,2
"248",247,"UNLV",-0.76,-0.14,-0.06,-7.9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,"Mountain West",0.209299933619689,173.091045103483,0.420798065296252,1.24832343194064,4.10769230769231,73.9,1.13,0.241555106110531,214.500934226151,0.451576576576577,1.27905856669539,0.178649237472767,4.04545454545455,68.7,-1.507,115,-1.29,-0.72,116,-14.3,114,0.333,-11.1,107,376.26,106,-1,-8
"249",248,"East Carolina",-0.78,-0.2,-0.04,-6.4,2016,171,530738,"Philip Nelson","QB","American Athletic",408,0.225,0.231,0.183,155,"American Athletic",0.183514230621772,177.458261011253,0.432264736297828,1.26587114582076,3.26506024096386,73.3,1.202,0.248916681814561,212.82376295145,0.459649122807018,1.23482175668567,0.185483870967742,3.77173913043478,67.3,-1.646,103,-0.88,-0.5,101,-9,100,0.25,-8.6,98,442.26,82,-16,-18
"250",248,"East Carolina",-0.78,-0.2,-0.04,-6.4,2016,182,4038524,"Gardner Minshew","QB","American Athletic",221,0.246,0.282,-0.385,155,"American Athletic",0.183514230621772,177.458261011253,0.432264736297828,1.26587114582076,3.26506024096386,73.3,1.202,0.248916681814561,212.82376295145,0.459649122807018,1.23482175668567,0.185483870967742,3.77173913043478,67.3,-1.646,103,-0.88,-0.5,101,-9,100,0.25,-8.6,98,442.26,82,-16,-18
"251",249,"Arizona",-0.79,-0.29,-0.06,-7.4,2016,234,3133993,"Brandon Dawkins","QB","Pac-12",273,0.383,0.193,0.707,133,"Pac-12",0.15015506535326,102.555909636276,0.415812591508053,1.29523958506343,3.69811320754717,72.5,1.236,0.287124157719583,222.521222232677,0.464516129032258,1.2873491520871,0.164490861618799,4.34177215189873,68.7,-1.524,85,-0.49,-0.27,84,-4.5,87,0.25,-2.5,79,616.31,43,-36,-44
"252",250,"Texas State",-0.8,-0.04,0.08,-5.3,2016,132,548240,"Tyler Jones","QB","Sun Belt",454,0.05,0.051,0.046,231,"Sun Belt",0.0173829859067686,14.6017081616856,0.363095238095238,1.20398210531425,2.94545454545455,71.9,1.273,0.265454700151832,244.749233539989,0.468546637744035,1.17547610044147,0.182163187855787,4.62637362637363,67.1,-1.651,128,-2.25,-1.27,128,-25.5,128,0.167,-26.1,128,351.76,112,-16,-16
"253",251,"Illinois",-0.82,-0.17,-0.03,-7.2,2016,143,534652,"Wes Lunt","QB","Big Ten",250,0.152,0.143,0.469,168,"Big Ten",0.0862119047592428,61.7277238076179,0.375698324022346,1.25940789223664,2.88333333333333,69.7,1.426,0.16518206081464,145.525395577698,0.451759364358683,1.10822120458977,0.198130841121495,3.3804347826087,66,-1.701,94,-0.73,-0.45,98,-6.7,94,0.25,-6,94,523.91,64,-30,-30
"254",252,"Rutgers",-0.83,-0.06,-0.22,-9.1,2016,129,3127375,"Giovanni Rescigno","QB","Big Ten",220,0.018,-0.034,0.226,216,"Big Ten",-0.016676919615991,-13.7417817635766,0.359223300970874,1.04751111703006,1.93220338983051,71.6,1.284,0.203226295910543,174.164935595335,0.450408401400233,1.21186038406725,0.18609022556391,3.44791666666667,61.9,-2.041,112,-1.21,-0.6,107,-14.9,117,0.167,-12.2,113,585.47,49,-64,-68
"255",254,"Georgia State",-0.96,-0.26,-0.23,-10,2016,191,550226,"Conner Manning","QB","Sun Belt",397,0.268,0.268,0.292,164,"Sun Belt",0.112114438725424,85.0948589925969,0.370223978919631,1.3031003891634,3.12068965517241,74.1,1.124,0.109162588958394,102.721996209849,0.441020191285866,0.991681955509028,0.136936936936937,3.3452380952381,66.5,-1.662,109,-1.14,-0.65,111,-12.1,109,0.25,-12.1,110,321.79,122,12,13
