"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",90,"Arkansas",-0.24,-0.12,0.07,3.8,2015,7,"SEC",0.334556749753885,299.093734279973,0.504474272930649,1.25035982466494,4.43529411764706,68.9,1.44,0.241127932308717,204.958742462409,0.478823529411765,1.1497665665783,0.218997361477573,4.02777777777778,72.4,-1.242,14,1.31,0.69,13,19.2,14,0.615,17.4,14,695.04,25,11,11
"2",163,"Arkansas",0.33,-0.1,0.33,-1.7,2016,135,"SEC",0.202054751261311,187.91091867302,0.438709677419355,1.29936494790248,3.59302325581395,71.5,1.334,0.237455735510227,194.951158853896,0.451887941534714,1.3466734916601,0.173396674584323,3.58024691358025,70.5,-1.382,48,0.48,0.24,44,7.9,47,0.538,6.3,50,689.41,27,-23,-20
"3",322,"Arkansas",0.02,-0.17,0.13,-2.8,2017,263,"SEC",0.204302516393247,163.646315630991,0.434456928838951,1.29496745523542,3.86764705882353,67.2,1.562,0.244582722077618,200.068666659491,0.466992665036675,1.20097406120983,0.141255605381166,3.55128205128205,66.7,-1.647,68,-0.05,-0.12,72,2.1,63,0.333,-1.4,69,718.34,22,-47,-41
"4",502,"Arkansas",-0.51,-0.18,-0.02,-8.7,2018,393,"SEC",0.10423864787498,85.7884072011085,0.386391251518834,1.18245803631569,3.04545454545455,73.6,1.126,0.211377716789844,176.9231489531,0.462365591397849,1.12956831689204,0.159645232815965,3.60674157303371,68,-1.589,77,-0.12,-0.28,92,4.5,53,0.167,-5.2,91,694.63,27,-64,-26
"5",575,"Arkansas",0.09,-0.12,0.12,-1.1,2019,523,"SEC",0.0643894159865037,51.0608068772975,0.382093316519546,1.30244335869967,2.65151515151515,70.8,1.324,0.313307285863499,261.298276410158,0.470023980815348,1.30435315795252,0.216450216450216,4.28571428571429,69.9,-1.4,105,-0.72,-0.4,96,-10.6,108,0.167,-7,91,707.72,26,-65,-82
"6",768,"Arkansas",-0.79,-0.3,0.05,-7.3,2020,653,"SEC",0.218932270848693,146.465689197776,0.448430493273543,1.19148939632081,3.84,75.8,0.992,0.175199656531051,139.283726942185,0.462893081761006,1.1760334606447,0.174563591022444,3.73076923076923,70.3,-1.354,72,-0.06,-0.17,78,2.8,57,0.3,2.8,56,719.15,25,-31,-32
