"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"14",341,"Tennessee",-0.15,-0.27,0.29,0.4,2017,357,"SEC",0.0531325406096744,39.0524173481107,0.39047619047619,1.1028087431277,2.88888888888889,66.7,1.634,0.198780675528336,165.981864066161,0.475449101796407,1.02586485490616,0.158095238095238,3.8125,69.2,-1.497,77,-0.22,-0.28,88,1.2,67,0.333,-2.6,73,817.35,12,-61,-55
"15",349,"UCLA",-0.23,-0.18,0.03,-3.1,2017,368,"Pac-12",0.233646240262518,219.393819606504,0.462193823216187,1.2496596983106,4.25581395348837,71.7,1.309,0.233402870963062,240.171554220991,0.463556851311953,1.17109636784887,0.156549520766773,3.87254901960784,69.6,-1.432,55,0.2,0.05,59,4.9,51,0.462,4.8,45,830.58,11,-34,-40
"16",470,"UCLA",-0.14,-0.15,-0.05,-6.1,2018,498,"Pac-12",0.178732710304576,152.816467310412,0.431578947368421,1.22974276916738,3.5,74.1,1.069,0.225796567803375,200.7331487772,0.470191226096738,1.19796997068612,0.162,4.2875,68.3,-1.504,83,-0.16,-0.13,78,-0.4,76,0.25,0.8,68,778.12,19,-49,-57
"17",473,"Tennessee",-0.17,-0.15,0.16,-0.5,2018,487,"SEC",0.131040359315654,93.9559376293238,0.387726638772664,1.33925669741991,3.47540983606557,71.1,1.321,0.182492168905001,147.271180306336,0.462205700123916,1.11395529015137,0.17688679245283,3.83783783783784,71.5,-1.321,52,0.24,0.09,57,5.5,48,0.417,1.2,65,825.7,15,-50,-33
"18",474,"Florida State",-0.18,-0.07,0.01,-10.9,2018,419,"ACC",0.100840101012019,85.4115655571798,0.338842975206612,1.42103980524596,3.41666666666667,74,1.13,0.0894212415741209,86.3809193606008,0.398550724637681,1.21011920521116,0.207188160676533,3.37234042553191,64.5,-1.768,80,-0.13,-0.16,84,1.4,71,0.417,0.9,67,902.08,5,-62,-66
"19",495,"Nebraska",-0.41,-0.25,0.04,-5.5,2018,454,"Big Ten",0.232993470559708,203.636293269185,0.480549199084668,1.16970056656443,3.51851851851852,73.8,1.162,0.172724710647881,156.143138425684,0.448008849557522,1.23901878967234,0.146726862302483,3.54878048780488,68.5,-1.505,55,0.23,0.07,58,5.4,49,0.333,3.1,57,700.26,26,-31,-23
"20",502,"Arkansas",-0.51,-0.18,-0.02,-8.7,2018,393,"SEC",0.10423864787498,85.7884072011085,0.386391251518834,1.18245803631569,3.04545454545455,73.6,1.126,0.211377716789844,176.9231489531,0.462365591397849,1.12956831689204,0.159645232815965,3.60674157303371,68,-1.589,77,-0.12,-0.28,92,4.5,53,0.167,-5.2,91,694.63,27,-64,-26
"21",546,"Tennessee",0.3,0.01,0.06,0.7,2019,617,"SEC",0.143663216086261,119.384132567683,0.411552346570397,1.25739061547454,3.16216216216216,71.1,1.335,0.106040136376637,93.1032397386872,0.415717539863326,1.1182708923657,0.166301969365427,2.8875,71.3,-1.308,37,0.54,0.19,47,10.8,29,0.615,7.8,33,830.34,16,-17,-13
"22",547,"UCLA",0.29,-0.03,0.09,-0.6,2019,628,"Pac-12",0.151994355796946,140.442784756378,0.436147186147186,1.21596999266973,3.35526315789474,70.6,1.337,0.332220623350811,273.749793641069,0.475728155339806,1.351880057127,0.227154046997389,4.24390243902439,70.6,-1.32,73,-0.21,-0.07,68,-3.9,79,0.333,0.9,58,741.4,22,-36,-57
"23",575,"Arkansas",0.09,-0.12,0.12,-1.1,2019,523,"SEC",0.0643894159865037,51.0608068772975,0.382093316519546,1.30244335869967,2.65151515151515,70.8,1.324,0.313307285863499,261.298276410158,0.470023980815348,1.30435315795252,0.216450216450216,4.28571428571429,69.9,-1.4,105,-0.72,-0.4,96,-10.6,108,0.167,-7,91,707.72,26,-65,-82
"24",598,"Florida State",-0.14,-0.2,0.08,-2.1,2019,549,"ACC",0.193855747920315,176.408730607486,0.404395604395604,1.41352811452533,3.7,72.8,1.203,0.13216534400241,139.963099298552,0.435316336166195,1.0924267895787,0.176,3.29591836734694,68.9,-1.498,54,0.1,0.05,54,1.8,58,0.462,4,51,878.07,6,-45,-52
"25",639,"Nebraska",-0.71,-0.03,0.15,-1.2,2019,584,"Big Ten",0.148770004606568,129.132363998501,0.428571428571429,1.22674033892837,3.46913580246914,71,1.359,0.147466479290964,123.429443166537,0.426523297491039,1.19174739936208,0.186363636363636,3.41025641025641,71.4,-1.328,51,0.15,0.08,51,2.6,55,0.417,4.5,47,729.47,24,-23,-31
"26",668,"Florida State",0.35,-0.17,0.28,-3,2020,678,"ACC",0.164163990713724,104.572462084642,0.409733124018838,1.33300982927968,3.19298245614035,71.7,1.247,0.267749968330345,168.414730079787,0.475357710651828,1.32391302676275,0.202941176470588,4.01470588235294,68.1,-1.524,94,-0.58,-0.47,103,-2.9,85,0.333,-3.8,88,832.59,16,-72,-69
"27",691,"UCLA",0.17,-0.17,0.1,-4.6,2020,755,"Pac-12",0.255898572682491,131.5318663588,0.455252918287938,1.3123024478618,3.95918367346939,71.8,1.285,0.160060282699911,84.0316484174531,0.462857142857143,1.13033987244032,0.18595041322314,3.43636363636364,69.2,-1.434,44,0.35,0.15,46,5.5,46,0.429,8.5,29,696.17,31,2,-15
"28",723,"Tennessee",-0.09,-0.14,0.3,0.4,2020,744,"SEC",0.126617965408168,83.5678571693906,0.431818181818182,1.190444200062,3.01785714285714,72.7,1.207,0.199127864025939,138.194737634002,0.475504322766571,1.12201647417325,0.217983651226158,3.83333333333333,71.8,-1.27,79,-0.13,-0.32,92,4.6,50,0.3,3,53,842.87,15,-38,-35
"29",761,"Nebraska",-0.49,0,-0.1,-4.7,2020,713,"Big Ten",0.191157708076337,106.092527982367,0.47027027027027,1.0762382413114,3.3,75.3,1.068,0.192055030909093,108.511092463638,0.421238938053097,1.27257487065727,0.229299363057325,3.75471698113208,67.9,-1.613,52,0.17,-0.21,82,9.4,32,0.375,4.9,44,731.1,24,-20,-8
"30",768,"Arkansas",-0.79,-0.3,0.05,-7.3,2020,653,"SEC",0.218932270848693,146.465689197776,0.448430493273543,1.19148939632081,3.84,75.8,0.992,0.175199656531051,139.283726942185,0.462893081761006,1.1760334606447,0.174563591022444,3.73076923076923,70.3,-1.354,72,-0.06,-0.17,78,2.8,57,0.3,2.8,56,719.15,25,-31,-32
