"","V1","Team","STR","NFP","Year","offense.totalPPA","offense.successRate","offense.fieldPosition.averagePredictedPoints","defense.totalPPA","defense.successRate","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","predictedFPI","Diff","predictedSTR","STR_diff","predictedNFP","NFP_diff","predicted_offPPA","offPPA_diff","predictedOSR","OSR_diff","predictedPP","PP_diff","predicted_defPPA","defPPA_diff","predictedDSR","DSR_diff","predictedDPP","DPP_diff","STR_devs","NFP_devs","oPPA_devs","OSR_devs","PP_devs","dPPA_devs","DSR_devs","DPP_devs"
"1",327,"Tennessee",-0.15,0.4,2017,39.0524173481107,0.39047619047619,1.634,165.981864066161,0.475449101796407,-1.497,77,-0.22,-0.28,88,1.2,67,0.333,-2.6,73,817.35,12,13.8707806854468,-16.4707806854468,0.132604375059018,-0.282604375059018,1.29551525563235,-0.895515255632354,189.016488184998,-149.964070836888,0.447283689757799,-0.0568074992816088,1.43488322886004,0.199116771139963,108.834718363323,57.147145702838,0.408600621996453,0.0668484797999537,-1.31793430678012,-0.179065693219877,-0.652898563142055,-0.242804413049873,-1.76135904355942,-1.36367307980814,1.20315382886667,0.796066262266664,1.61458168650545,-1.08004771072841
"2",452,"Tennessee",-0.17,-0.5,2018,93.9559376293238,0.387726638772664,1.321,147.271180306336,0.462205700123916,-1.321,52,0.24,0.09,57,5.5,48,0.417,1.2,65,825.7,15,14.2746623973513,-13.0746623973513,0.136561274778577,-0.306561274778577,1.33849321599476,-1.83849321599476,190.044020736204,-96.0880831068802,0.447790122855292,-0.0600634840826277,1.43548267950201,-0.114482679502011,107.976744242889,39.2944360634472,0.408151723605772,0.0540539765181439,-1.31571281505821,-0.00528718494178571,-0.70824599150714,-0.498477567409576,-1.12857441928658,-1.44183351421494,-0.69175626640179,0.547375979328244,1.3055578949613,-0.0318900392916776
"3",693,"Tennessee",-0.09,0.4,2020,83.5678571693906,0.431818181818182,1.207,138.194737634002,0.475504322766571,-1.27,79,-0.13,-0.32,92,4.6,50,0.3,3,53,842.87,15,15.1051592827885,-12.1051592827885,0.144697797914485,-0.234697797914485,1.42686825544656,-1.02686825544656,192.15692300018,-108.589065830789,0.448831494865346,-0.0170133130471642,1.4367153223191,-0.229715322319099,106.212502847936,31.9822347860659,0.407228659489844,0.0682756632767265,-1.31114478956538,0.0411447895653778,-0.54222039201966,-0.278418644992472,-1.27540104816682,-0.408407292948338,-1.3880441512548,0.445516180938744,1.6490522430802,0.248167781217154
