"","V1","Team","STR","NFP","Year","offense.totalPPA","offense.successRate","offense.fieldPosition.averagePredictedPoints","defense.totalPPA","defense.successRate","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","predictedFPI","Diff","predictedSTR","STR_diff","predictedNFP","NFP_diff","predicted_offPPA","offPPA_diff","predictedOSR","OSR_diff","predictedPP","PP_diff","predicted_defPPA","defPPA_diff","predictedDSR","DSR_diff","predictedDPP","DPP_diff","STR_devs","NFP_devs","oPPA_devs","OSR_devs","PP_devs","dPPA_devs","DSR_devs","DPP_devs"
"1",334,"UCLA",-0.23,-3.1,2017,219.393819606504,0.462193823216187,1.309,240.171554220991,0.463556851311953,-1.432,55,0.2,0.05,59,4.9,51,0.462,4.8,45,830.58,11,14.5107034457458,-9.71070344574583,0.138873810183541,-0.368873810183541,1.36361087426644,-4.46361087426644,190.644542754154,28.74927685235,0.448086098126641,0.0141077250895461,1.43583301712271,-0.126833017122709,107.475317451545,132.696236769446,0.407889373408584,0.0556674779033694,-1.31441450612373,-0.117585493876267,-0.852206129502679,-1.21023557286469,0.337666205625731,0.338658190648014,-0.76638260707148,1.84847372380068,1.34452856109361,-0.70922543113822
"2",449,"UCLA",-0.14,-6.1,2018,152.816467310412,0.431578947368421,1.069,200.7331487772,0.470191226096738,-1.504,83,-0.16,-0.13,78,-0.4,76,0.25,0.8,68,778.12,19,11.973262175505,-11.173262175505,0.114014054580179,-0.254014054580179,1.09359604784587,-7.19359604784587,184.188931061191,-31.372463750779,0.444904363959637,-0.0133254165912162,1.4320668877002,-0.363066887700201,112.865655458489,87.8674933187114,0.41070963802836,0.059481588068378,-1.32837132716941,-0.175628672830594,-0.586846580908918,-1.95042670142089,-0.368476078555362,-0.319878750384516,-2.19381478300565,1.22400421089612,1.43665021354054,-1.05931707307012
"3",523,"UCLA",0.29,-0.6,2019,140.442784756378,0.436147186147186,1.337,273.749793641069,0.475728155339806,-1.32,73,-0.21,-0.07,68,-3.9,79,0.333,0.9,58,741.4,22,10.197150024471,-9.29715002447099,0.0966131734182369,0.193386826581763,0.904595963473707,-1.50459596347371,179.670248991698,-39.2274642353202,0.442677271344075,-0.00653008519688925,1.42943074068544,-0.0924307406854377,116.638686560566,157.111107080503,0.412683715741631,0.0630444395981751,-1.33814056980755,0.0181405698075505,0.446779994752264,-0.407946751873561,-0.460734684656143,-0.15675573655703,-0.558508451718999,2.18857565388332,1.52270325242733,0.1094161619663
